Component_n,n_organisms,n_experiments,n_media
Yeast Extract,36,2860,11
Sodium Chloride,32,3044,18
Potassium Chloride,31,2675,21
Ammonium chloride,31,2499,50
Wolfe's mineral mix,31,2395,32
Wolfe's vitamin mix,29,2297,24
D-Glucose,26,1141,13
Sodium phosphate monobasic monohydrate,25,1920,19
PIPES sesquisodium salt,25,1862,15
Tryptone,24,1326,1
Peptone,19,1104,4
Potassium phosphate monobasic,16,1060,24
Calcium chloride,15,2591,45
Magnesium sulfate,15,1484,14
Potassium phosphate dibasic,13,1742,38
"Sodium D,L-Lactate",12,1270,39
Boric Acid,10,1874,32
Magnesium Sulfate Heptahydrate,9,389,3
Magnesium chloride hexahydrate,8,1417,37
Sodium pyruvate,8,303,3
Starch,8,260,1
casamino acids,8,260,1
Sodium bicarbonate,7,1094,4
Disodium phosphate,7,812,3
Ferric citrate,6,724,1
Potassium bromide,6,724,1
Sodium silicate,6,724,1
Strontium chloride,6,724,1
magnesium chloride,6,724,1
sodium fluoride,6,724,1
Casamino acids,6,232,20
Sodium phosphate dibasic heptahydrate,6,177,7
Sodium acetate,5,592,27
Ammonium sulfate,5,362,3
Sodium sulfide nonahydrate,4,1412,50
Cobalt chloride hexahydrate,4,1150,31
Manganese (II) chloride tetrahydrate,4,1150,31
Resazurin,4,906,30
Sea salts,4,405,8
Ammonium Sulfate,4,267,4
Ferrous sulfate heptahydrate,4,11,1
Magnesium sulfate heptahydrate,4,11,1
MES sodium salt,4,7,2
EDTA,3,1020,30
L-Cysteine hydrochloride,3,999,28
copper (II) chloride dihydrate,3,950,30
Iron (II) chloride tetrahydrate,3,941,29
Vitamin solution,3,536,27
Cyanocobalamin,3,430,13
Iron (II) sulfate heptahydrate,3,306,5
Sodium nitrate,3,173,5
4-Aminobenzoic acid,3,64,11
Thiamine HCl,3,64,11
Potato tuber tissue (surface-sterilized),3,53,1
Sucrose,3,36,2
D-Dextrose,3,18,1
Potato extract,3,18,1
TAPS sodium salt,3,10,1
Sodium sulfate,2,935,29
Nickel (II) sulfate hexahydrate,2,932,28
Sodium selenite pentahydrate,2,932,28
Zinc chloride,2,932,28
Sodium molybdate,2,907,22
Sodium tungstate dihydrate,2,902,22
Thauer's vitamin mix,2,881,19
Tris hydrochloride,2,770,23
CaCl2·2H2O,2,500,24
KCl,2,500,24
KH2PO4,2,500,24
MgCl2·6H2O,2,500,24
MgSO4·7H2O,2,500,24
NaCl,2,500,24
NaHCO3,2,500,24
Trace mineral solution,2,500,24
FeSO4·7H2O,2,464,22
NH4Cl,2,420,22
Sodium formate,2,226,17
3-(N-morpholino)propanesulfonic acid,2,218,3
Aluminum potassium sulfate dodecahydrate,2,218,3
Ammonium heptamolybdate tetrahydrate,2,218,3
Copper (II) sulfate pentahydrate,2,218,3
Tricine,2,218,3
Zinc sulfate heptahydrate,2,218,3
K2HPO4,2,214,2
Yeast extract,2,164,3
Biotin,2,60,10
Calcium pantothenate,2,60,10
Folic acid,2,60,10
Lipoic acid,2,60,10
Nicotinic acid,2,60,10
Pyridoxine HCl,2,60,10
Riboflavin,2,60,10
Dipotassium phosphate,2,46,1
Glycerol,2,46,1
Proteose Peptone No. 3,2,46,1
Sodium L-Lactate,2,14,2
MOPS buffer,2,12,1
Polygalacturonic acid,2,6,1
Soluble starch,2,6,1
Hemin,1,499,4
HEPES,1,162,5
Brain Heart Infusion broth,1,129,1
Calcium chloride dihydrate,1,129,2
Citric Acid,1,129,2
EDTA (disodium salt),1,129,2
Ferric ammonium citrate,1,129,2
Sodium carbonate,1,129,2
Trace metal mix A5,1,129,2
Vitamin K1,1,129,1
Sodium thioglycolate,1,36,3
L-Tartaric acid,1,35,2
Sodium acetate trihydrate,1,35,2
Succinic acid,1,35,2
a-Ketoglutaric acid disodium salt hydrate,1,23,1
Potato stem tissue (surface-sterilized),1,22,1
"2,3-dihydroxybenzoic acid",1,4,1
4-Hydroxybenzoic Acid,1,4,1
Adenine hydrochloride hydrate,1,4,1
Cytosine,1,4,1
Glycine,1,4,1
Guanine,1,4,1
Iron (II) chloride,1,4,1
L-Alanine,1,4,1
L-Arginine,1,4,1
L-Asparagine,1,4,1
L-Aspartic acid potassium salt,1,4,1
L-Cysteine hydrochloride monohydrate,1,4,1
L-Glutamic acid monopotassium salt monohydrate,1,4,1
L-Glutamine,1,4,1
L-Histidine,1,4,1
L-Isoleucine,1,4,1
L-Leucine,1,4,1
L-Lysine,1,4,1
L-Methionine,1,4,1
L-Phenylalanine,1,4,1
L-Proline,1,4,1
L-Serine,1,4,1
L-Threonine,1,4,1
L-Tryptophan,1,4,1
L-Valine,1,4,1
L-tyrosine,1,4,1
Potassium hydroxide,1,4,1
Uracil,1,4,1
calcium pantothenate,1,4,1
Titanium (III) citrate,1,3,1
Iron (III) quinate,1,2,2
