orgId_n,n_experiments,n_unique_condition_signatures,n_unique_media_codes,n_unique_condition1_codes,avg_experiments_per_condition_signature
Btheta,519,263,5,117,1.973384030418251
DvH,757,246,27,92,3.0772357723577235
psRCH2,350,178,9,93,1.9662921348314606
Marino,255,156,7,75,1.6346153846153846
pseudo3_N2E3,211,151,6,104,1.3973509933774835
Phaeo,274,149,6,93,1.8389261744966443
Putida,300,144,5,99,2.0833333333333335
pseudo5_N2C3_1,184,126,7,93,1.4603174603174602
Korea,162,120,4,63,1.35
MR1,176,116,6,74,1.5172413793103448
pseudo6_N2E2,188,116,5,87,1.6206896551724137
WCS417,201,116,4,94,1.7327586206896552
pseudo1_N1B4,147,115,7,82,1.2782608695652173
Keio,168,109,7,81,1.5412844036697249
Miya,178,108,4,47,1.6481481481481481
Dino,186,107,4,78,1.7383177570093458
Koxy,208,107,4,89,1.9439252336448598
SB2B,190,102,4,70,1.8627450980392157
Methanococcus_S2,371,99,23,33,3.7474747474747474
acidovorax_3H11,140,98,4,66,1.4285714285714286
SynE,129,90,2,34,1.4333333333333333
Cola,202,89,3,63,2.269662921348315
BFirm,113,88,5,64,1.2840909090909092
Pedo557,177,87,3,67,2.0344827586206895
Caulo,198,87,3,64,2.2758620689655173
pseudo13_GW456_L13,106,85,3,66,1.2470588235294118
Cup4G11,106,79,4,56,1.3417721518987342
Smeli,90,78,4,58,1.1538461538461537
PV4,160,74,3,55,2.1621621621621623
ANA3,107,74,5,59,1.445945945945946
Kang,108,70,1,43,1.542857142857143
Dyella79,68,56,3,40,1.2142857142857142
azobra,91,56,3,50,1.625
HerbieS,96,50,6,45,1.92
Ponti,104,49,1,27,2.122448979591837
PS,79,47,4,24,1.6808510638297873
Methanococcus_JJ,129,45,22,7,2.8666666666666667
SyringaeB728a,46,24,2,19,1.9166666666666667
SyringaeB728a_mexBdelta,23,22,1,18,1.0454545454545454
DdiaME23,69,13,8,6,5.3076923076923075
Burk376,30,13,1,7,2.3076923076923075
Dda3937,58,11,8,6,5.2727272727272725
Ddia6719,33,6,4,5,5.5
Magneto,36,5,3,3,7.2
RalstoniaGMI1000,7,3,3,2,2.3333333333333335
RalstoniaBSBF1503,8,3,3,2,2.6666666666666665
RalstoniaPSI07,8,3,3,2,2.6666666666666665
RalstoniaUW163,6,2,2,1,3.0
