orgId,name,Media,expGroup,condition_1,concentration_1,units_1,condition_2,concentration_2,units_2,condition_3,concentration_3,units_3,condition_4,concentration_4,units_4,temperature,pH,aerobic,shaking,growthMethod
ANA3,set5IT004,RCH2_defined_noCarbon,carbon source,Sucrose,10,mM,,,,,,,,,,30,7,Aerobic,700 rpm,
ANA3,set5IT005,RCH2_defined_noCarbon,carbon source,Sucrose,5,mM,,,,,,,,,,30,7,Aerobic,700 rpm,
ANA3,set5IT006,RCH2_defined_noCarbon,carbon source,Sucrose,2.5,mM,,,,,,,,,,30,7,Aerobic,700 rpm,
ANA3,set5IT008,RCH2_defined_noCarbon,carbon source,Sucrose,10,mM,,,,,,,,,,30,7,Aerobic,700 rpm,
ANA3,set5IT009,RCH2_defined_noCarbon,carbon source,Sucrose,5,mM,,,,,,,,,,30,7,Aerobic,700 rpm,
ANA3,set5IT010,RCH2_defined_noCarbon,carbon source,Sucrose,2.5,mM,,,,,,,,,,30,7,Aerobic,700 rpm,
Btheta,set1IT071,Varel_Bryant_medium,carbon source,D-Glucose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT072,Varel_Bryant_medium,carbon source,D-Glucose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT073,Varel_Bryant_medium,carbon source,D-Glucose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT074,Varel_Bryant_medium,carbon source,D-Arabinose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT075,Varel_Bryant_medium,carbon source,D-Raffinose pentahydrate,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT076,Varel_Bryant_medium,carbon source,L-Fucose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT077,Varel_Bryant_medium,carbon source,D-Trehalose dihydrate,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT078,Varel_Bryant_medium,carbon source,Beta-Lactose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT079,Varel_Bryant_medium,carbon source,D-Fructose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT080,Varel_Bryant_medium,carbon source,D-Maltose monohydrate,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT081,Varel_Bryant_medium,carbon source,L-Rhamnose monohydrate,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT083,Varel_Bryant_medium,carbon source,D-Glucose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT084,Varel_Bryant_medium,carbon source,D-Mannose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT086,Varel_Bryant_medium,carbon source,D-Xylose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT087,Varel_Bryant_medium,carbon source,a-Cyclodextrin,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT088,Varel_Bryant_medium,carbon source,D-Galacturonic Acid monohydrate,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT089,Varel_Bryant_medium,carbon source,N-Acetyl-D-Glucosamine,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT091,Varel_Bryant_medium,carbon source,L-Arabinose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT092,Varel_Bryant_medium,carbon source,D-Galactose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT094,Varel_Bryant_medium,carbon source,L-Fucose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT095,Varel_Bryant_medium,carbon source,D-Glucosamine Hydrochloride,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set1IT096,Varel_Bryant_medium,carbon source,D-Galacturonic Acid monohydrate,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set2IT004,Varel_Bryant_medium,carbon source,D-Arabinose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set2IT005,Varel_Bryant_medium,carbon source,D-Raffinose pentahydrate,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set2IT006,Varel_Bryant_medium,carbon source,D-Trehalose dihydrate,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set2IT007,Varel_Bryant_medium,carbon source,Beta-Lactose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set2IT008,Varel_Bryant_medium,carbon source,D-Fructose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set2IT009,Varel_Bryant_medium,carbon source,D-Maltose monohydrate,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set2IT010,Varel_Bryant_medium,carbon source,L-Rhamnose monohydrate,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set2IT012,Varel_Bryant_medium,carbon source,D-Mannose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set2IT014,Varel_Bryant_medium,carbon source,D-Xylose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set2IT015,Varel_Bryant_medium,carbon source,a-Cyclodextrin,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set2IT016,Varel_Bryant_medium,carbon source,N-Acetyl-D-Glucosamine,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set2IT017,BHIS,bhis,,,,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set2IT018,Varel_Bryant_medium,carbon source,L-Arabinose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
Btheta,set2IT019,Varel_Bryant_medium,carbon source,D-Galactose,20,mM,,,,,,,,,,37,,Anaerobic,0 rpm,
