Component_n,DvH,Methanococcus_S2,Btheta,Putida,Miya,Marino,Phaeo,Methanococcus_JJ,Cola,Dino,psRCH2,Kang,__Other_organisms__
Sodium Chloride,0,0,370,234,0,159,137,0,109,107,138,108,1682
Yeast Extract,269,0,0,46,101,159,137,0,109,107,165,108,1659
Potassium Chloride,0,0,0,20,0,159,137,0,109,107,212,108,1823
Calcium chloride,757,0,370,234,178,159,137,0,109,107,0,108,432
Ammonium chloride,632,0,0,150,170,0,0,0,0,0,159,0,1388
Wolfe's mineral mix,3,0,0,20,0,96,137,0,93,79,212,0,1755
Wolfe's vitamin mix,0,0,0,20,0,95,135,0,93,79,174,0,1701
Sodium phosphate monobasic monohydrate,0,0,0,20,0,0,0,0,0,0,212,0,1688
Boric Acid,754,0,0,212,178,159,137,0,109,107,0,108,110
PIPES sesquisodium salt,3,0,0,20,0,0,0,0,0,0,212,0,1627
Potassium phosphate dibasic,757,0,370,46,178,0,0,0,0,0,0,0,391
Magnesium sulfate,0,0,370,22,0,159,137,0,109,107,0,108,472
Magnesium chloride hexahydrate,757,0,0,212,178,0,0,0,0,0,0,0,270
Sodium sulfide nonahydrate,751,354,0,0,178,0,0,129,0,0,0,0,0
Tryptone,0,0,0,0,0,0,0,0,0,0,138,0,1188
"Sodium D,L-Lactate",757,0,0,0,166,0,0,0,0,0,128,0,219
Cobalt chloride hexahydrate,754,0,0,212,178,0,0,0,0,0,0,0,6
Manganese (II) chloride tetrahydrate,754,0,0,212,178,0,0,0,0,0,0,0,6
D-Glucose,0,0,239,172,0,0,0,0,36,0,18,0,676
Peptone,0,0,0,46,0,159,137,0,109,107,0,108,438
Sodium bicarbonate,0,0,370,0,0,159,137,0,109,107,0,108,104
Potassium phosphate monobasic,0,0,370,22,0,96,137,0,93,79,0,0,263
EDTA,754,0,0,0,178,0,0,0,0,0,0,0,88
L-Cysteine hydrochloride,0,371,499,0,0,0,0,129,0,0,0,0,0
copper (II) chloride dihydrate,754,0,0,0,178,0,0,0,0,0,18,0,0
Iron (II) chloride tetrahydrate,745,0,0,0,178,0,0,0,0,0,18,0,0
Sodium sulfate,757,0,0,0,178,0,0,0,0,0,0,0,0
Nickel (II) sulfate hexahydrate,754,0,0,0,178,0,0,0,0,0,0,0,0
Zinc chloride,754,0,0,0,178,0,0,0,0,0,0,0,0
Sodium selenite pentahydrate,754,0,0,0,178,0,0,0,0,0,0,0,0
Sodium molybdate,729,0,0,0,178,0,0,0,0,0,0,0,0
Resazurin,0,371,370,0,0,0,0,129,0,0,0,0,36
Sodium tungstate dihydrate,724,0,0,0,178,0,0,0,0,0,0,0,0
Thauer's vitamin mix,703,0,0,0,178,0,0,0,0,0,0,0,0
Disodium phosphate,0,0,0,0,0,159,137,0,109,107,0,108,192
Tris hydrochloride,592,0,0,0,178,0,0,0,0,0,0,0,0
