Component_n,DvH,Putida,psRCH2,Btheta,Miya,Marino,Phaeo,Koxy,SB2B,pseudo3_N2E3,WCS417,Cola,__Other_organisms__
Sodium Chloride,0,234,138,370,0,159,137,39,190,84,45,109,1539
Yeast Extract,269,46,165,0,101,159,137,60,88,84,74,109,1568
Potassium Chloride,0,20,212,0,0,159,137,148,102,127,127,109,1534
Calcium chloride,757,234,0,370,178,159,137,0,0,0,0,109,647
Ammonium chloride,632,150,159,0,170,0,0,84,70,89,116,0,1029
Wolfe's mineral mix,3,20,212,0,0,96,137,148,102,127,127,93,1330
Wolfe's vitamin mix,0,20,174,0,0,95,135,148,102,127,127,93,1276
Sodium phosphate monobasic monohydrate,0,20,212,0,0,0,0,148,102,127,127,0,1184
Boric Acid,754,212,0,0,178,159,137,0,0,0,0,109,325
PIPES sesquisodium salt,3,20,212,0,0,0,0,148,102,121,127,0,1129
Potassium phosphate dibasic,757,46,0,370,178,0,0,21,0,0,29,0,341
Magnesium sulfate,0,22,0,370,0,159,137,0,0,0,0,109,687
Magnesium chloride hexahydrate,757,212,0,0,178,0,0,0,102,0,0,0,168
Sodium sulfide nonahydrate,751,0,0,0,178,0,0,0,0,0,0,0,483
Tryptone,0,0,138,0,0,0,0,39,88,84,45,0,932
"Sodium D,L-Lactate",757,0,128,0,166,0,0,0,38,0,0,0,181
Cobalt chloride hexahydrate,754,212,0,0,178,0,0,0,0,0,0,0,6
Manganese (II) chloride tetrahydrate,754,212,0,0,178,0,0,0,0,0,0,0,6
D-Glucose,0,172,18,239,0,0,0,85,0,45,40,36,506
Peptone,0,46,0,0,0,159,137,21,0,0,29,109,603
