orgId,n_unique_gene_keys,n_unique_with_embedding,n_unique_missing_embedding,pct_unique_missing_embedding
azobra,4833,4178,655,13.552658804055453
Keio,3789,3585,204,5.3840063341250985
DdiaME23,3761,3611,150,3.9883009837809094
RalstoniaUW163,3795,3667,128,3.372859025032938
RalstoniaBSBF1503,3779,3652,127,3.3606774278909763
RalstoniaPSI07,4029,3898,131,3.251427153139737
RalstoniaGMI1000,3980,3853,127,3.190954773869347
MR1,3782,3662,120,3.1729243786356425
Ddia6719,3528,3433,95,2.6927437641723357
Koxy,4608,4485,123,2.6692708333333335
Dda3937,3705,3614,91,2.456140350877193
Magneto,3221,3155,66,2.049053089102763
Pedo557,4423,4359,64,1.4469816866380285
Methanococcus_JJ,1383,1367,16,1.1569052783803326
Ponti,3685,3643,42,1.1397557666214382
SyringaeB728a_mexBdelta,4282,4237,45,1.0509107893507708
SyringaeB728a,4314,4271,43,0.9967547519703291
Korea,3393,3360,33,0.9725906277630415
Miya,2531,2511,20,0.7902015013828526
SB2B,3121,3099,22,0.7049022749118872
ANA3,3668,3643,25,0.6815703380588877
DvH,2741,2725,16,0.5837285662167092
Kang,2003,1992,11,0.5491762356465302
Methanococcus_S2,1244,1238,6,0.48231511254019294
PV4,3009,2998,11,0.36556995679627785
acidovorax_3H11,3935,3924,11,0.2795425667090216
Caulo,3312,3305,7,0.2113526570048309
PS,2561,2556,5,0.1952362358453729
Dyella79,3625,3618,7,0.19310344827586207
Putida,4778,4769,9,0.18836333193804938
Cup4G11,6384,6373,11,0.17230576441102757
Phaeo,3099,3094,5,0.16134236850596967
pseudo6_N2E2,5133,5126,7,0.13637249172024157
psRCH2,3349,3345,4,0.11943863839952225
Burk376,5153,5147,6,0.11643702697457792
pseudo5_N2C3_1,5193,5187,6,0.11554015020219527
WCS417,4419,4414,5,0.11314777098891152
BFirm,5428,5422,6,0.1105379513633014
Cola,3954,3950,4,0.10116337885685382
pseudo13_GW456_L13,4350,4346,4,0.09195402298850575
pseudo3_N2E3,5028,5024,4,0.07955449482895784
pseudo1_N1B4,4336,4333,3,0.06918819188191883
Dino,3187,3185,2,0.06275494195167869
Marino,3650,3648,2,0.0547945205479452
SynE,1899,1898,1,0.0526592943654555
Smeli,5133,5131,2,0.03896356906292616
HerbieS,3879,3878,1,0.025779840164990978
Btheta,4055,4054,1,0.02466091245376079
