orgId,name,Media,expGroup,condition_1,concentration_1,units_1,condition_2,concentration_2,units_2,condition_3,concentration_3,units_3,condition_4,concentration_4,units_4,temperature,pH,aerobic,shaking,growthMethod,media_in_Media_Components
ANA3,set5IT004,RCH2_defined_noCarbon,carbon source,Sucrose,10,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
ANA3,set5IT005,RCH2_defined_noCarbon,carbon source,Sucrose,5,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
ANA3,set5IT006,RCH2_defined_noCarbon,carbon source,Sucrose,2.5,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
ANA3,set5IT008,RCH2_defined_noCarbon,carbon source,Sucrose,10,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
ANA3,set5IT009,RCH2_defined_noCarbon,carbon source,Sucrose,5,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
ANA3,set5IT010,RCH2_defined_noCarbon,carbon source,Sucrose,2.5,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
BFirm,set4IT035,RCH2_defined_glucose,nutrient,L-Histidine,1,mM,,,,,,,,,,30,,Aerobic,200 rpm,,True
BFirm,set4IT036,RCH2_defined_glucose,nutrient,L-Histidine,1,mM,,,,,,,,,,30,,Aerobic,200 rpm,,True
BFirm,set4IT037,RCH2_defined_glucose,nutrient,L-Serine,1,mM,,,,,,,,,,30,,Aerobic,200 rpm,,True
BFirm,set4IT038,RCH2_defined_glucose,nutrient,L-Serine,1,mM,,,,,,,,,,30,,Aerobic,200 rpm,,True
BFirm,set4IT039,RCH2_defined_glucose,nutrient,casamino acids,0.25,mg/ml,,,,,,,,,,30,,Aerobic,200 rpm,,True
BFirm,set4IT040,RCH2_defined_glucose,nutrient,casamino acids,0.25,mg/ml,,,,,,,,,,30,,Aerobic,200 rpm,,True
BFirm,set4IT041,RCH2_defined_glucose,nutrient,,,,,,,,,,,,,30,,Aerobic,200 rpm,,True
BFirm,set4IT042,RCH2_defined_glucose,nutrient,,,,,,,,,,,,,30,,Aerobic,200 rpm,,True
BFirm,set5IT075,RCH2_defined_glucose,vitamin,,,,,,,,,,,,,30,,Aerobic,200 rpm,,True
BFirm,set5IT076,RCH2_defined_glucose,vitamin,,,,,,,,,,,,,30,,Aerobic,200 rpm,,True
BFirm,set6IT053,RCH2_defined_noCarbon,carbon source,D-Glucose,20,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
BFirm,set6IT054,RCH2_defined_noCarbon,carbon source,D-Glucose,20,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
BFirm,set6IT055,RCH2_defined_noCarbon,carbon source,2-Deoxy-D-Ribose,10,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
BFirm,set6IT056,RCH2_defined_noCarbon,carbon source,2-Deoxy-D-Ribose,10,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
BFirm,set6IT057,RCH2_defined_noCarbon,carbon source,2-Deoxy-D-Ribose,5,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
BFirm,set6IT058,RCH2_defined_noCarbon,carbon source,2-Deoxy-D-Ribose,5,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
BFirm,set6IT059,RCH2_defined_noCarbon,carbon source,2-Deoxy-D-ribonic acid lithium salt,5,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
BFirm,set8IT022,RCH2_defined_noCarbon,carbon source,Deoxyribonucleic acid from herring sperm,10,mg/mL,,,,,,,,,,30,7,Aerobic,700 rpm,,True
BFirm,set8IT025,RCH2_defined_noCarbon,carbon source,D-Glucose,20,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
BFirm,set8IT027,RCH2_defined_noCarbon,carbon source,Phenylacetic acid,5,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
BFirm,set8IT028,RCH2_defined_noCarbon,carbon source,2-Deoxyadenosine 5-monophosphate,5,mM,,,,,,,,,,30,7,Aerobic,700 rpm,,True
BFirm,set8IT031,RCH2_defined_noCarbon,carbon source,Deoxyribonucleic acid from herring sperm,10,mg/mL,,,,,,,,,,30,7,Aerobic,700 rpm,,True
