stressor,train_freq,match_type,top1_canonical_id,top1_score,top2_canonical_id,top2_score,top3_canonical_id,top3_score,auto_apply
Dimethyl Sulfoxide,435,fuzzy,h2s,0.588235,ni2,0.486486,oh,0.484848,False
Sodium acetate,205,exact_after_norm,ac,1.0,,0.0,,0.0,True
casamino acids,145,exact_after_norm,ala-L,1.0,,0.0,,0.0,True
D-Glucose,110,exact_after_norm,glc-D,1.0,,0.0,,0.0,True
Sodium pyruvate,110,exact_after_norm,pyr,1.0,,0.0,,0.0,True
Sodium nitrite,105,fuzzy,no3,0.928571,sel,0.758621,si,0.758621,False
Sodium nitrate,89,exact_after_norm,no3,1.0,,0.0,,0.0,True
"Sodium D,L-Lactate",88,exact_after_norm,lac-D,1.0,,0.0,,0.0,True
Cobalt chloride hexahydrate,85,exact_after_norm,cobalt2,1.0,,0.0,,0.0,True
Nickel (II) chloride hexahydrate,79,fuzzy,cu2,0.8,fe2,0.789474,mn2,0.744186,False
Sodium sulfate,79,fuzzy,nh4,0.8,mg2,0.774194,tungs,0.733333,False
L-Glutamine,75,exact_after_norm,gln-L,1.0,,0.0,,0.0,True
Sodium perchlorate monohydrate,73,fuzzy,na1,0.787879,for,0.75,pyr,0.727273,False
Thallium(I) acetate,69,fuzzy,ac,0.666667,lac-L,0.571429,lac-D,0.540541,False
Cisplatin,67,fuzzy,asp-L,0.583333,cys-L,0.526316,ala-L,0.521739,False
L-Glutamic acid monopotassium salt monohydrate,67,exact_after_norm,glu-L,1.0,,0.0,,0.0,True
Sodium Formate,67,exact_after_norm,for,1.0,,0.0,,0.0,True
Fusidic acid sodium salt,65,fuzzy,succ,0.72,bo3,0.636364,asp-L,0.592593,False
L-Leucine,65,exact_after_norm,leu-L,1.0,,0.0,,0.0,True
Sodium Chloride,65,exact_after_norm,na1,1.0,,0.0,,0.0,True
Mc_vitamins,64,fuzzy,phyllo,0.666667,4abz,0.6,thm,0.521739,False
Sodium Chlorite,64,fuzzy,na1,0.933333,f,0.8,sr2,0.787879,False
Ammonium chloride,62,exact_after_norm,nh4,1.0,,0.0,,0.0,True
L-Proline,62,exact_after_norm,pro-L,1.0,,0.0,,0.0,True
L-Serine,61,exact_after_norm,ser-L,1.0,,0.0,,0.0,True
Paraquat dichloride,60,fuzzy,cobalt2,0.647059,cu2,0.615385,fe2,0.594595,False
sodium sulfite,58,fuzzy,nh4,0.733333,mg2,0.709677,tungs,0.666667,False
Ethanol,57,fuzzy,etha,0.736842,chol,0.545455,edta,0.545455,False
L-Alanine,55,exact_after_norm,ala-L,1.0,,0.0,,0.0,True
L-Asparagine,55,exact_after_norm,asn-L,1.0,,0.0,,0.0,True
L-Isoleucine,55,exact_after_norm,ile-L,1.0,,0.0,,0.0,True
MreB Perturbing Compound A22,55,fuzzy,cu2,0.4,asp-L,0.372093,tartr-L,0.372093,False
Aluminum chloride hydrate,53,fuzzy,ca2,0.848485,nh4,0.823529,cl,0.774194,False
L-Histidine,51,exact_after_norm,his-L,1.0,,0.0,,0.0,True
copper (II) chloride dihydrate,51,exact_after_norm,cu2,1.0,,0.0,,0.0,True
kanamycin,51,fuzzy,etha,0.571429,phyllo,0.526316,cbl1,0.521739,False
Agar,49,fuzzy,akg,0.571429,ala-L,0.444444,arg-L,0.444444,False
Chloramphenicol,49,fuzzy,cobalt2,0.6,zn2,0.571429,cu2,0.457143,False
Glycerol,49,exact_after_norm,glyc,1.0,,0.0,,0.0,True
Nalidixic acid sodium salt,48,fuzzy,succ,0.592593,bo3,0.583333,asp-L,0.551724,False
Polymyxin B sulfate,48,fuzzy,so4,0.625,nh4,0.571429,mg2,0.555556,False
Tetracycline hydrochloride,48,fuzzy,tricine,0.631579,etha,0.583333,4abz,0.56,False
L-Arginine,46,exact_after_norm,arg-L,1.0,,0.0,,0.0,True
L-Lysine,46,exact_after_norm,lys-L,1.0,,0.0,,0.0,True
Sodium L-Lactate,46,exact_after_norm,lac-L,1.0,,0.0,,0.0,True
L-Phenylalanine,45,exact_after_norm,phe-L,1.0,,0.0,,0.0,True
Spectinomycin dihydrochloride pentahydrate,45,fuzzy,ins,0.5,tricine,0.5,zn2,0.5,False
sodium fluoride,44,exact_after_norm,f,1.0,,0.0,,0.0,True
D-Cycloserine,43,fuzzy,cys-L,0.695652,csn,0.666667,ser-L,0.666667,False
L-Methionine,43,exact_after_norm,met-L,1.0,,0.0,,0.0,True
Doxycycline hyclate,42,fuzzy,succ,0.5,4hbz,0.444444,si,0.444444,False
benzoic acid,42,fuzzy,bo3,0.818182,succ,0.64,4abz,0.580645,False
D-Alanine,41,fuzzy,ala-L,0.888889,val-L,0.705882,phe-L,0.666667,False
N-Acetyl-D-Glucosamine,40,fuzzy,gln-L,0.606061,glc-D,0.580645,leu-L,0.516129,False
Putrescine Dihydrochloride,40,exact_after_norm,ptrc,1.0,,0.0,,0.0,True
Vancomycin Hydrochloride Hydrate,40,fuzzy,cbl1,0.583333,etha,0.545455,adn,0.526316,False
Zinc sulfate heptahydrate,39,exact_after_norm,zn2,1.0,,0.0,,0.0,True
a-Ketoglutaric acid disodium salt hydrate,39,exact_after_norm,akg,1.0,,0.0,,0.0,True
Glycine,37,exact_after_norm,gly,1.0,,0.0,,0.0,True
L-Citrulline,37,fuzzy,pro-L,0.666667,cys-L,0.636364,tyr-L,0.636364,False
Sodium D-Lactate,37,fuzzy,lac-D,0.941176,lac-L,0.9375,ac,0.866667,False
Carbenicillin disodium salt,36,fuzzy,ade,0.5,tricine,0.5,fe3,0.482759,False
Iron (II) chloride tetrahydrate,36,exact_after_norm,fe2,1.0,,0.0,,0.0,True
L-Threonine,36,exact_after_norm,thr-L,1.0,,0.0,,0.0,True
Bacitracin,35,fuzzy,tricine,0.588235,tartr-L,0.56,cit,0.521739,False
Benzethonium chloride,35,fuzzy,nh4,0.736842,cl,0.685714,ca2,0.648649,False
Cephalothin sodium salt,35,fuzzy,chol,0.555556,xan,0.526316,etha,0.521739,False
D-Glucosamine Hydrochloride,35,fuzzy,glc-D,0.818182,gln-L,0.75,gsn,0.636364,False
Sodium succinate dibasic hexahydrate,35,fuzzy,na1,0.619048,k,0.577778,h2s,0.56,False
D-Fructose,34,fuzzy,glc-D,0.736842,sucr,0.588235,csn,0.555556,False
Iron,34,fuzzy,h,0.6,ins,0.571429,quin,0.5,False
L-Malic acid disodium salt monohydrate,34,fuzzy,asp-L,0.740741,tartr-L,0.740741,bo3,0.636364,False
Sisomicin sulfate salt,33,fuzzy,ile-L,0.571429,spmd,0.526316,his-L,0.5,False
Lomefloxacin hydrochloride,32,fuzzy,ile-L,0.5,met-L,0.5,ala-L,0.47619,False
D-Trehalose dihydrate,31,fuzzy,glc-D,0.6,tyr-L,0.571429,thr-L,0.545455,False
L-Valine,30,exact_after_norm,val-L,1.0,,0.0,,0.0,True
Adenosine,29,exact_after_norm,adn,1.0,,0.0,,0.0,True
Cytidine,29,exact_after_norm,cytd,1.0,,0.0,,0.0,True
Phosphomycin disodium salt,29,fuzzy,pheme,0.470588,ptrc,0.454545,spmd,0.454545,False
Sodium Chlorate,29,fuzzy,na1,0.866667,for,0.827586,co3,0.774194,False
D-Mannose,28,fuzzy,adn,0.555556,ala-L,0.555556,glc-D,0.555556,False
D-Galactose,26,fuzzy,glc-D,0.8,polygalact,0.571429,glu-L,0.545455,False
