protocol,slice,n_rows,rmse_global_train_mean,rmse_per_experiment_train_mean,rmse_per_organism_train_mean
organism_single_holdout_largest_v0,val,2104545,0.5668274976346587,0.5668274976346587,0.5668274976346587
organism_single_holdout_largest_v0,test,2074937,0.5762984156679077,0.5762984156679077,0.5762984156679077
organism_looo_v0,val_ANA3,392476,0.9552879875720505,,
organism_looo_v0,val_BFirm,613364,0.6211963606325337,,
organism_looo_v0,val_Btheta,2104545,0.5668271426096373,,
organism_looo_v0,val_Burk376,154590,0.5671446284430071,,
organism_looo_v0,val_Caulo,655776,0.8600430943400148,,
organism_looo_v0,val_Cola,798708,0.5093585330084932,,
organism_looo_v0,val_Cup4G11,676704,0.48668535496735493,,
organism_looo_v0,val_Dda3937,214890,0.5879664064334298,,
organism_looo_v0,val_Ddia6719,116424,0.42905374349453723,,
organism_looo_v0,val_DdiaME23,259509,0.45793050641189015,,
organism_looo_v0,val_Dino,592782,0.48531938925679124,,
organism_looo_v0,val_DvH,2074937,0.5762980249119859,,
organism_looo_v0,val_Dyella79,246500,0.6456300584966123,,
organism_looo_v0,val_HerbieS,372384,0.6550068306975144,,
organism_looo_v0,val_Kang,216324,0.7985916681080342,,
organism_looo_v0,val_Keio,636552,0.7208082271584718,,
organism_looo_v0,val_Korea,549666,0.5694078570638471,,
organism_looo_v0,val_Koxy,958464,0.7184380297130795,,
organism_looo_v0,val_MR1,665632,0.8605924087238345,,
organism_looo_v0,val_Magneto,115956,0.5052758423399323,,
organism_looo_v0,val_Marino,930750,0.462271737590468,,
organism_looo_v0,val_Methanococcus_JJ,178407,1.2293139595485996,,
organism_looo_v0,val_Methanococcus_S2,461524,1.2277264515885893,,
organism_looo_v0,val_Miya,450518,0.6920331027037787,,
organism_looo_v0,val_PS,202319,0.7415909176037184,,
organism_looo_v0,val_PV4,481440,0.8531175193028758,,
organism_looo_v0,val_Pedo557,782871,0.606335159807656,,
organism_looo_v0,val_Phaeo,849126,0.5520703876136411,,
organism_looo_v0,val_Ponti,383240,0.5278670250029927,,
organism_looo_v0,val_Putida,1433400,0.5499800220171052,,
organism_looo_v0,val_RalstoniaBSBF1503,30232,0.45306847106985043,,
organism_looo_v0,val_RalstoniaGMI1000,27860,0.4595241929047242,,
organism_looo_v0,val_RalstoniaPSI07,32232,0.4735791568313468,,
organism_looo_v0,val_RalstoniaUW163,22770,0.37882239561156256,,
organism_looo_v0,val_SB2B,592990,0.7564508943304111,,
organism_looo_v0,val_Smeli,461970,0.7184066945487885,,
organism_looo_v0,val_SynE,244971,0.9370406269830207,,
organism_looo_v0,val_SyringaeB728a,198444,0.4972769637868495,,
organism_looo_v0,val_SyringaeB728a_mexBdelta,98486,0.4264494598293104,,
organism_looo_v0,val_WCS417,888219,0.5333436953967736,,
organism_looo_v0,val_acidovorax_3H11,550900,0.5511356333093459,,
organism_looo_v0,val_azobra,439803,0.5814881245046357,,
organism_looo_v0,val_psRCH2,1172150,0.628295237151265,,
organism_looo_v0,val_pseudo13_GW456_L13,461100,0.6551826980633111,,
organism_looo_v0,val_pseudo1_N1B4,637392,0.4824230386342474,,
organism_looo_v0,val_pseudo3_N2E3,1060908,0.4840284626373888,,
organism_looo_v0,val_pseudo5_N2C3_1,955512,0.5325246284317424,,
organism_looo_v0,val_pseudo6_N2E2,965004,0.576345603091631,,
