orgId,gene_key,m_g
ANA3,ANA3:7022496,73
ANA3,ANA3:7022497,73
ANA3,ANA3:7022499,73
ANA3,ANA3:7022500,73
ANA3,ANA3:7022501,73
ANA3,ANA3:7022502,73
ANA3,ANA3:7022503,73
ANA3,ANA3:7022505,73
ANA3,ANA3:7022506,73
ANA3,ANA3:7022507,73
ANA3,ANA3:7022508,73
ANA3,ANA3:7022509,73
ANA3,ANA3:7022510,73
ANA3,ANA3:7022511,73
ANA3,ANA3:7022512,73
ANA3,ANA3:7022513,73
ANA3,ANA3:7022514,73
ANA3,ANA3:7022516,73
ANA3,ANA3:7022517,73
ANA3,ANA3:7022518,73
ANA3,ANA3:7022519,73
ANA3,ANA3:7022520,73
ANA3,ANA3:7022521,73
ANA3,ANA3:7022522,73
ANA3,ANA3:7022523,73
ANA3,ANA3:7022524,73
ANA3,ANA3:7022525,73
ANA3,ANA3:7022526,73
ANA3,ANA3:7022527,73
ANA3,ANA3:7022528,73
ANA3,ANA3:7022529,73
ANA3,ANA3:7022530,73
ANA3,ANA3:7022531,73
ANA3,ANA3:7022532,73
ANA3,ANA3:7022533,73
ANA3,ANA3:7022534,73
ANA3,ANA3:7022535,73
ANA3,ANA3:7022536,73
ANA3,ANA3:7022537,73
ANA3,ANA3:7022538,73
ANA3,ANA3:7022540,73
ANA3,ANA3:7022541,73
ANA3,ANA3:7022542,73
ANA3,ANA3:7022543,73
ANA3,ANA3:7022544,73
ANA3,ANA3:7022545,73
ANA3,ANA3:7022546,73
ANA3,ANA3:7022547,73
ANA3,ANA3:7022548,73
ANA3,ANA3:7022549,73
ANA3,ANA3:7022550,73
ANA3,ANA3:7022551,73
ANA3,ANA3:7022552,73
ANA3,ANA3:7022553,73
ANA3,ANA3:7022554,73
ANA3,ANA3:7022555,73
ANA3,ANA3:7022556,73
ANA3,ANA3:7022557,73
ANA3,ANA3:7022558,73
ANA3,ANA3:7022559,73
ANA3,ANA3:7022560,73
ANA3,ANA3:7022561,73
ANA3,ANA3:7022562,73
ANA3,ANA3:7022563,73
ANA3,ANA3:7022564,73
ANA3,ANA3:7022565,73
ANA3,ANA3:7022566,73
ANA3,ANA3:7022568,73
ANA3,ANA3:7022569,73
ANA3,ANA3:7022570,73
ANA3,ANA3:7022571,73
ANA3,ANA3:7022572,73
ANA3,ANA3:7022573,73
ANA3,ANA3:7022574,73
ANA3,ANA3:7022575,73
ANA3,ANA3:7022576,73
ANA3,ANA3:7022578,73
ANA3,ANA3:7022583,73
ANA3,ANA3:7022584,73
ANA3,ANA3:7022585,73
ANA3,ANA3:7022586,73
ANA3,ANA3:7022587,73
ANA3,ANA3:7022589,73
ANA3,ANA3:7022590,73
ANA3,ANA3:7022591,73
ANA3,ANA3:7022592,73
ANA3,ANA3:7022593,73
ANA3,ANA3:7022594,73
ANA3,ANA3:7022595,73
ANA3,ANA3:7022596,73
ANA3,ANA3:7022597,73
ANA3,ANA3:7022598,73
ANA3,ANA3:7022599,73
ANA3,ANA3:7022600,73
ANA3,ANA3:7022602,73
ANA3,ANA3:7022603,73
ANA3,ANA3:7022604,73
ANA3,ANA3:7022605,73
ANA3,ANA3:7022606,73
ANA3,ANA3:7022607,73
ANA3,ANA3:7022608,73
ANA3,ANA3:7022609,73
ANA3,ANA3:7022610,73
ANA3,ANA3:7022611,73
ANA3,ANA3:7022612,73
ANA3,ANA3:7022613,73
ANA3,ANA3:7022614,73
ANA3,ANA3:7022615,73
ANA3,ANA3:7022616,73
ANA3,ANA3:7022618,73
ANA3,ANA3:7022619,73
ANA3,ANA3:7022620,73
ANA3,ANA3:7022621,73
ANA3,ANA3:7022622,73
ANA3,ANA3:7022623,73
ANA3,ANA3:7022625,73
ANA3,ANA3:7022626,73
ANA3,ANA3:7022627,73
ANA3,ANA3:7022628,73
ANA3,ANA3:7022629,73
ANA3,ANA3:7022630,73
ANA3,ANA3:7022631,73
ANA3,ANA3:7022632,73
ANA3,ANA3:7022633,73
ANA3,ANA3:7022634,73
ANA3,ANA3:7022635,73
ANA3,ANA3:7022636,73
ANA3,ANA3:7022638,73
ANA3,ANA3:7022639,73
ANA3,ANA3:7022641,73
ANA3,ANA3:7022642,73
ANA3,ANA3:7022643,73
ANA3,ANA3:7022644,73
ANA3,ANA3:7022645,73
ANA3,ANA3:7022646,73
ANA3,ANA3:7022647,73
ANA3,ANA3:7022648,73
ANA3,ANA3:7022649,73
ANA3,ANA3:7022650,73
ANA3,ANA3:7022651,73
ANA3,ANA3:7022652,73
ANA3,ANA3:7022653,73
ANA3,ANA3:7022654,73
ANA3,ANA3:7022655,73
ANA3,ANA3:7022656,73
ANA3,ANA3:7022657,73
ANA3,ANA3:7022658,73
ANA3,ANA3:7022659,73
ANA3,ANA3:7022660,73
ANA3,ANA3:7022662,73
ANA3,ANA3:7022663,73
ANA3,ANA3:7022665,73
ANA3,ANA3:7022666,73
ANA3,ANA3:7022667,73
ANA3,ANA3:7022668,73
ANA3,ANA3:7022669,73
ANA3,ANA3:7022671,73
ANA3,ANA3:7022672,73
ANA3,ANA3:7022673,73
ANA3,ANA3:7022674,73
ANA3,ANA3:7022675,73
ANA3,ANA3:7022676,73
ANA3,ANA3:7022677,73
ANA3,ANA3:7022678,73
ANA3,ANA3:7022679,73
ANA3,ANA3:7022680,73
ANA3,ANA3:7022681,73
ANA3,ANA3:7022682,73
ANA3,ANA3:7022683,73
ANA3,ANA3:7022684,73
ANA3,ANA3:7022685,73
ANA3,ANA3:7022686,73
ANA3,ANA3:7022687,73
ANA3,ANA3:7022689,73
ANA3,ANA3:7022690,73
ANA3,ANA3:7022691,73
ANA3,ANA3:7022692,73
ANA3,ANA3:7022693,73
ANA3,ANA3:7022694,73
ANA3,ANA3:7022695,73
ANA3,ANA3:7022696,73
ANA3,ANA3:7022697,73
ANA3,ANA3:7022698,73
ANA3,ANA3:7022699,73
ANA3,ANA3:7022701,73
ANA3,ANA3:7022702,73
ANA3,ANA3:7022703,73
ANA3,ANA3:7022704,73
ANA3,ANA3:7022705,73
ANA3,ANA3:7022706,73
ANA3,ANA3:7022707,73
ANA3,ANA3:7022708,73
ANA3,ANA3:7022709,73
ANA3,ANA3:7022710,73
ANA3,ANA3:7022711,73
ANA3,ANA3:7022712,73
ANA3,ANA3:7022715,73
ANA3,ANA3:7022716,73
ANA3,ANA3:7022717,73
ANA3,ANA3:7022718,73
ANA3,ANA3:7022719,73
ANA3,ANA3:7022720,73
ANA3,ANA3:7022721,73
ANA3,ANA3:7022722,73
ANA3,ANA3:7022723,73
ANA3,ANA3:7022724,73
ANA3,ANA3:7022725,73
ANA3,ANA3:7022726,73
ANA3,ANA3:7022727,73
ANA3,ANA3:7022728,73
ANA3,ANA3:7022729,73
ANA3,ANA3:7022730,73
ANA3,ANA3:7022731,73
ANA3,ANA3:7022733,73
ANA3,ANA3:7022734,73
ANA3,ANA3:7022735,73
ANA3,ANA3:7022736,73
ANA3,ANA3:7022737,73
ANA3,ANA3:7022738,73
ANA3,ANA3:7022739,73
ANA3,ANA3:7022740,73
ANA3,ANA3:7022741,73
ANA3,ANA3:7022742,73
ANA3,ANA3:7022744,73
ANA3,ANA3:7022745,73
ANA3,ANA3:7022746,73
ANA3,ANA3:7022747,73
ANA3,ANA3:7022749,73
ANA3,ANA3:7022750,73
ANA3,ANA3:7022752,73
ANA3,ANA3:7022756,73
ANA3,ANA3:7022758,73
ANA3,ANA3:7022759,73
ANA3,ANA3:7022760,73
ANA3,ANA3:7022763,73
ANA3,ANA3:7022764,73
ANA3,ANA3:7022765,73
ANA3,ANA3:7022767,73
