orgId,count,median,mean,std
ANA3,32,0.800808965274611,0.7890090123831783,0.10625709181789503
BFirm,16,0.42026447704092607,0.3969760174670545,0.10842294141777549
Btheta,191,0.38895925418489546,0.40735038170064547,0.11287818914025755
Burk376,13,0.5061789925130222,0.5022623445708253,0.05097358482654487
Caulo,86,0.885445749322928,0.8349807235759591,0.13669095877334
Cola,89,0.395508256937175,0.39742937546269674,0.10685071959446421
Cup4G11,26,0.17111021732959558,0.21673721535469384,0.1125153259340669
Dda3937,9,0.4707764302800672,0.45992326759889746,0.11401819944525995
Ddia6719,6,0.4178254218708901,0.4235062032244239,0.052938327096605786
DdiaME23,12,0.44076336463177956,0.4579864595766027,0.08724916438510887
Dino,73,0.411228899105742,0.41457812447702624,0.10396963997794374
DvH,245,0.587594975796172,0.5911971835862724,0.09961645992443614
Dyella79,10,0.43712927546197977,0.4528216151488259,0.09844065344150889
HerbieS,33,0.4445658266821478,0.4235058785187336,0.10622512385912268
Kang,24,0.6179219268581662,0.577307459704227,0.23088447143114554
Keio,54,0.5713515894191064,0.5848213778069046,0.10935941883404145
Korea,28,0.5600426455080478,0.5349925404501533,0.13166642081877172
Koxy,84,0.34055081491608136,0.3311792694185095,0.09186520869377532
MR1,44,0.590338214680316,0.576979174692879,0.11710171786045925
Marino,71,0.646514700366455,0.6222614667473879,0.18491723469870883
Methanococcus_JJ,35,0.8751602479764148,0.8656647319994466,0.06575383708429342
Methanococcus_S2,89,0.8559555739943807,0.8468320419625163,0.056078029489502815
Miya,29,0.5097503567856185,0.4962101873570964,0.12866271967409287
