orgId,m_min,threshold,metric,n_eligible,n_total,frac_eligible
ANA3,3,0.1,tail_g,3668,3668,1.0
ANA3,3,0.2,tail_g,3666,3668,0.9994547437295529
ANA3,3,0.3,tail_g,3615,3668,0.9855507088331515
ANA3,3,0.4,tail_g,3463,3668,0.9441112322791713
ANA3,3,0.6,tail_g,2965,3668,0.8083424209378408
ANA3,3,0.8,tail_g,2413,3668,0.6578516902944384
ANA3,3,1.0,tail_g,1903,3668,0.5188113413304253
ANA3,3,1.5,tail_g,1111,3668,0.30288985823336967
ANA3,5,0.1,tail_g,3668,3668,1.0
ANA3,5,0.2,tail_g,3666,3668,0.9994547437295529
ANA3,5,0.3,tail_g,3615,3668,0.9855507088331515
ANA3,5,0.4,tail_g,3463,3668,0.9441112322791713
ANA3,5,0.6,tail_g,2965,3668,0.8083424209378408
ANA3,5,0.8,tail_g,2413,3668,0.6578516902944384
ANA3,5,1.0,tail_g,1903,3668,0.5188113413304253
ANA3,5,1.5,tail_g,1111,3668,0.30288985823336967
ANA3,10,0.1,tail_g,3668,3668,1.0
ANA3,10,0.2,tail_g,3666,3668,0.9994547437295529
ANA3,10,0.3,tail_g,3615,3668,0.9855507088331515
ANA3,10,0.4,tail_g,3463,3668,0.9441112322791713
ANA3,10,0.6,tail_g,2965,3668,0.8083424209378408
ANA3,10,0.8,tail_g,2413,3668,0.6578516902944384
ANA3,10,1.0,tail_g,1903,3668,0.5188113413304253
ANA3,10,1.5,tail_g,1111,3668,0.30288985823336967
ANA3,15,0.1,tail_g,3668,3668,1.0
ANA3,15,0.2,tail_g,3666,3668,0.9994547437295529
ANA3,15,0.3,tail_g,3615,3668,0.9855507088331515
ANA3,15,0.4,tail_g,3463,3668,0.9441112322791713
ANA3,15,0.6,tail_g,2965,3668,0.8083424209378408
ANA3,15,0.8,tail_g,2413,3668,0.6578516902944384
ANA3,15,1.0,tail_g,1903,3668,0.5188113413304253
ANA3,15,1.5,tail_g,1111,3668,0.30288985823336967
ANA3,20,0.1,tail_g,3668,3668,1.0
ANA3,20,0.2,tail_g,3666,3668,0.9994547437295529
ANA3,20,0.3,tail_g,3615,3668,0.9855507088331515
ANA3,20,0.4,tail_g,3463,3668,0.9441112322791713
ANA3,20,0.6,tail_g,2965,3668,0.8083424209378408
ANA3,20,0.8,tail_g,2413,3668,0.6578516902944384
ANA3,20,1.0,tail_g,1903,3668,0.5188113413304253
ANA3,20,1.5,tail_g,1111,3668,0.30288985823336967
ANA3,30,0.1,tail_g,3668,3668,1.0
ANA3,30,0.2,tail_g,3666,3668,0.9994547437295529
