orgId,n_experiments,n_conditions,n_media,exp_per_cond_p50,exp_per_cond_p90,exp_per_cond_max,frac_cond_with_replicates
DvH,757,248,27,3.0,3.0,15,0.9879032258064516
Btheta,499,273,4,2.0,2.0,12,0.6996336996336996
Methanococcus_S2,371,116,23,3.0,6.0,12,0.7672413793103449
psRCH2,350,210,9,1.0,3.0,8,0.48095238095238096
Putida,300,159,5,2.0,2.200000000000017,6,0.6918238993710691
Phaeo,274,152,6,2.0,2.0,15,0.6447368421052632
Marino,255,156,7,1.0,2.0,11,0.4551282051282051
pseudo3_N2E3,211,151,6,1.0,2.0,4,0.3509933774834437
Koxy,208,108,4,2.0,2.0,6,0.7777777777777778
Cola,202,91,3,2.0,3.0,9,0.978021978021978
WCS417,201,118,4,2.0,2.0,6,0.5338983050847458
Caulo,198,88,3,2.0,3.0,10,0.9772727272727273
SB2B,190,108,4,1.0,2.0,10,0.48148148148148145
pseudo6_N2E2,188,118,5,2.0,2.0,4,0.5508474576271186
Dino,186,108,4,2.0,2.0,7,0.6759259259259259
pseudo5_N2C3_1,184,130,7,1.0,2.0,4,0.38461538461538464
Miya,178,128,4,1.0,2.0,13,0.2265625
Pedo557,177,88,3,2.0,2.0,9,0.9318181818181818
MR1,176,118,6,1.0,2.0,14,0.3728813559322034
Keio,168,111,7,1.0,2.0,4,0.4864864864864865
Korea,162,118,4,1.0,2.0,7,0.23728813559322035
PV4,160,75,3,2.0,2.0,22,0.7466666666666667
pseudo1_N1B4,147,115,7,1.0,2.0,5,0.25217391304347825
acidovorax_3H11,140,98,4,1.0,3.0,5,0.2755102040816326
SynE,129,102,2,1.0,1.0,18,0.058823529411764705
Methanococcus_JJ,129,36,21,3.0,6.0,6,0.9722222222222222
BFirm,113,91,5,1.0,2.0,4,0.17582417582417584
Kang,108,72,1,1.0,2.8999999999999986,7,0.3333333333333333
ANA3,107,73,5,1.0,2.0,4,0.4383561643835616
pseudo13_GW456_L13,106,85,3,1.0,2.0,2,0.24705882352941178
Cup4G11,106,79,4,1.0,2.0,3,0.3291139240506329
Ponti,104,49,1,2.0,2.0,10,0.9591836734693877
HerbieS,96,53,6,2.0,2.0,6,0.6226415094339622
azobra,91,57,3,2.0,2.0,3,0.5789473684210527
Smeli,90,78,4,1.0,2.0,3,0.14102564102564102
PS,79,47,4,1.0,4.0,4,0.3191489361702128
DdiaME23,69,12,8,6.0,7.9,8,1.0
Dyella79,68,56,3,1.0,2.0,4,0.17857142857142858
Dda3937,48,9,7,6.0,6.6000000000000005,9,1.0
Magneto,36,36,3,1.0,1.0,1,0.0
Ddia6719,33,6,4,6.0,6.0,6,1.0
Burk376,30,13,1,2.0,3.6000000000000014,4,1.0
SyringaeB728a_mexBdelta,23,22,1,1.0,1.0,2,0.045454545454545456
SyringaeB728a,23,22,1,1.0,1.0,2,0.045454545454545456
RalstoniaUW163,6,2,2,3.0,3.0,3,1.0
RalstoniaBSBF1503,5,2,2,2.5,2.9,3,1.0
RalstoniaGMI1000,5,2,2,2.5,2.9,3,1.0
RalstoniaPSI07,5,2,2,2.5,2.9,3,1.0
