orgId,holdout_fraction,n_train_conditions,n_val_conditions,n_val_exps,n_genes_with_any_val,n_genes_val_m_ge_5,n_genes_val_m_ge_10,median_val_m_per_gene,p25_val_m_per_gene
ANA3,0.1,66,7,9,3668,3668,0,7.0,7.0
ANA3,0.15,62,11,19,3668,3668,3668,11.0,11.0
ANA3,0.2,58,15,19,3668,3668,3668,15.0,15.0
ANA3,0.25,55,18,23,3668,3668,3668,18.0,18.0
ANA3,0.3,51,22,33,3668,3668,3668,22.0,22.0
BFirm,0.1,82,9,11,5428,5428,0,9.0,9.0
BFirm,0.15,77,14,19,5428,5428,5428,14.0,14.0
BFirm,0.2,73,18,23,5428,5428,5428,18.0,18.0
BFirm,0.25,68,23,29,5428,5428,5428,23.0,23.0
BFirm,0.3,64,27,31,5428,5428,5428,27.0,27.0
Btheta,0.1,246,27,50,4055,4055,4055,27.0,27.0
Btheta,0.15,243,30,54,4055,4055,4055,30.0,30.0
Btheta,0.2,243,30,64,4055,4055,4055,30.0,30.0
Btheta,0.25,243,30,63,4055,4055,4055,30.0,30.0
Btheta,0.3,243,30,65,4055,4055,4055,30.0,30.0
Burk376,0.1,10,3,6,5153,0,0,3.0,3.0
Burk376,0.15,10,3,6,5153,0,0,3.0,3.0
Burk376,0.2,10,3,8,5153,0,0,3.0,3.0
Burk376,0.25,10,3,10,5153,0,0,3.0,3.0
Burk376,0.3,9,4,10,5153,0,0,4.0,4.0
Caulo,0.1,79,9,21,3312,3312,0,9.0,9.0
Caulo,0.15,75,13,29,3312,3312,3312,13.0,13.0
Caulo,0.2,70,18,41,3312,3312,3312,18.0,18.0
Caulo,0.25,66,22,47,3312,3312,3312,22.0,22.0
Caulo,0.3,62,26,68,3312,3312,3312,26.0,26.0
Cola,0.1,82,9,27,3954,3954,0,9.0,9.0
Cola,0.15,77,14,28,3954,3954,3954,14.0,14.0
Cola,0.2,73,18,38,3954,3954,3954,18.0,18.0
Cola,0.25,68,23,48,3954,3954,3954,23.0,23.0
Cola,0.3,64,27,58,3954,3954,3954,27.0,27.0
Cup4G11,0.1,71,8,10,6384,6384,0,8.0,8.0
Cup4G11,0.15,67,12,17,6384,6384,6384,12.0,12.0
Cup4G11,0.2,63,16,22,6384,6384,6384,16.0,16.0
Cup4G11,0.25,59,20,25,6384,6384,6384,20.0,20.0
Cup4G11,0.3,55,24,33,6384,6384,6384,24.0,24.0
Dda3937,0.1,6,3,18,3705,0,0,3.0,3.0
Dda3937,0.15,6,3,15,3705,0,0,3.0,3.0
Dda3937,0.2,6,3,15,3705,0,0,3.0,3.0
Dda3937,0.25,6,3,15,3705,0,0,3.0,3.0
Dda3937,0.3,6,3,15,3705,0,0,3.0,3.0
Ddia6719,0.1,3,3,16,3528,0,0,3.0,3.0
Ddia6719,0.15,3,3,17,3528,0,0,3.0,3.0
Ddia6719,0.2,3,3,17,3528,0,0,3.0,3.0
Ddia6719,0.25,3,3,16,3528,0,0,3.0,3.0
Ddia6719,0.3,3,3,17,3528,0,0,3.0,3.0
DdiaME23,0.1,9,3,14,3761,0,0,3.0,3.0
DdiaME23,0.15,9,3,12,3761,0,0,3.0,3.0
DdiaME23,0.2,9,3,13,3761,0,0,3.0,3.0
DdiaME23,0.25,9,3,15,3761,0,0,3.0,3.0
DdiaME23,0.3,8,4,24,3761,0,0,4.0,4.0
Dino,0.1,97,11,18,3187,3187,3187,11.0,11.0
Dino,0.15,92,16,28,3187,3187,3187,16.0,16.0
Dino,0.2,86,22,46,3187,3187,3187,22.0,22.0
Dino,0.25,81,27,44,3187,3187,3187,27.0,27.0
Dino,0.3,78,30,50,3187,3187,3187,30.0,30.0
DvH,0.1,223,25,71,2741,2741,2741,25.0,25.0
DvH,0.15,218,30,95,2741,2741,2741,30.0,30.0
DvH,0.2,218,30,97,2741,2741,2741,30.0,30.0
DvH,0.25,218,30,92,2741,2741,2741,30.0,30.0
DvH,0.3,218,30,106,2741,2741,2741,30.0,30.0
Dyella79,0.1,50,6,8,3625,3625,0,6.0,6.0
Dyella79,0.15,48,8,11,3625,3625,0,8.0,8.0
Dyella79,0.2,45,11,14,3625,3625,3625,11.0,11.0
Dyella79,0.25,42,14,17,3625,3625,3625,14.0,14.0
Dyella79,0.3,39,17,19,3625,3625,3625,17.0,17.0
HerbieS,0.1,48,5,8,3879,3879,0,5.0,5.0
HerbieS,0.15,45,8,14,3879,3879,0,8.0,8.0
HerbieS,0.2,42,11,20,3879,3879,3879,11.0,11.0
HerbieS,0.25,40,13,31,3879,3879,3879,13.0,13.0
HerbieS,0.3,37,16,34,3879,3879,3879,16.0,16.0
Kang,0.1,65,7,9,2003,2003,0,7.0,7.0
Kang,0.15,61,11,19,2003,2003,2003,11.0,11.0
Kang,0.2,58,14,19,2003,2003,2003,14.0,14.0
Kang,0.25,54,18,25,2003,2003,2003,18.0,18.0
Kang,0.3,50,22,32,2003,2003,2003,22.0,22.0
Keio,0.1,100,11,16,3789,3789,3789,11.0,11.0
Keio,0.15,94,17,25,3789,3789,3789,17.0,17.0
Keio,0.2,89,22,37,3789,3789,3789,22.0,22.0
Keio,0.25,83,28,48,3789,3789,3789,28.0,28.0
Keio,0.3,81,30,47,3789,3789,3789,30.0,30.0
Korea,0.1,106,12,15,3393,3393,3393,12.0,12.0
Korea,0.15,100,18,22,3393,3393,3393,18.0,18.0
Korea,0.2,94,24,33,3393,3393,3393,24.0,24.0
