orgId,n_expgroups,smallest_group_size,n_groups_passing_strat_threshold,stratification_feasible
Putida,10,4,4,True
BFirm,9,3,3,True
pseudo5_N2C3_1,9,1,3,True
psRCH2,9,1,6,True
WCS417,9,1,3,True
Btheta,8,1,4,True
HerbieS,8,1,2,True
Phaeo,8,2,4,True
Koxy,8,4,3,True
Methanococcus_S2,8,14,8,True
Korea,8,6,3,True
SB2B,8,1,4,True
Marino,8,1,4,True
pseudo3_N2E3,8,3,3,True
acidovorax_3H11,7,3,5,True
pseudo1_N1B4,7,1,3,True
MR1,7,3,4,True
Smeli,7,3,3,True
pseudo6_N2E2,6,4,3,True
Cup4G11,6,1,3,True
ANA3,6,2,3,True
PV4,6,1,3,True
Miya,6,8,5,True
Methanococcus_JJ,6,10,6,True
Caulo,6,2,4,True
Dino,6,1,3,True
Keio,6,2,3,True
azobra,5,4,3,True
PS,5,1,3,True
Kang,5,3,2,True
DvH,5,17,5,True
Cola,4,9,3,True
Dyella79,4,4,3,True
Pedo557,4,9,3,True
pseudo13_GW456_L13,4,1,3,True
Ddia6719,3,6,2,True
SynE,3,13,3,True
DdiaME23,3,14,3,True
Dda3937,3,15,3,True
RalstoniaGMI1000,3,2,0,False
RalstoniaBSBF1503,3,2,0,False
SyringaeB728a,3,2,2,True
RalstoniaPSI07,3,2,0,False
Ponti,2,10,2,True
SyringaeB728a_mexBdelta,2,2,1,False
Magneto,2,2,1,False
RalstoniaUW163,2,3,0,False
Burk376,1,30,1,False
