orgId,expGroup,n_experiments,frac_of_org_experiments
ANA3,anaerobic,2,0.018691588785046728
ANA3,carbon source,47,0.4392523364485981
ANA3,lb,3,0.028037383177570093
ANA3,motility,4,0.037383177570093455
ANA3,nitrogen source,14,0.1308411214953271
ANA3,stress,37,0.34579439252336447
BFirm,carbon source,49,0.4336283185840708
BFirm,lb,3,0.02654867256637168
BFirm,motility,6,0.05309734513274336
BFirm,nitrogen source,16,0.1415929203539823
BFirm,nutrient,8,0.07079646017699115
BFirm,ph,7,0.061946902654867256
BFirm,stress,16,0.1415929203539823
BFirm,temperature,4,0.035398230088495575
BFirm,vitamin,4,0.035398230088495575
Btheta,bhis,1,0.0019267822736030828
Btheta,carbon source,112,0.21579961464354527
Btheta,mouse,20,0.038535645472061654
Btheta,nitrogen source,19,0.036608863198458574
Btheta,ph,4,0.007707129094412331
Btheta,stress,357,0.6878612716763006
Btheta,survival,2,0.0038535645472061657
Btheta,varel_bryant_medium_glucose,4,0.007707129094412331
Burk376,carbon source,30,1.0
Caulo,carbon source,42,0.21212121212121213
Caulo,nitrogen source,46,0.23232323232323232
Caulo,no stress control,3,0.015151515151515152
Caulo,ph,2,0.010101010101010102
Caulo,pye,10,0.050505050505050504
Caulo,stress,95,0.4797979797979798
Cola,carbon source,57,0.28217821782178215
Cola,marine broth,9,0.04455445544554455
Cola,nitrogen source,36,0.1782178217821782
Cola,stress,100,0.49504950495049505
Cup4G11,carbon source,42,0.39622641509433965
Cup4G11,lb,1,0.009433962264150943
Cup4G11,nitrogen source,23,0.2169811320754717
Cup4G11,r2a,3,0.02830188679245283
Cup4G11,stress,34,0.32075471698113206
Cup4G11,temperature,3,0.02830188679245283
Dda3937,carbon source,15,0.25862068965517243
Dda3937,control,15,0.25862068965517243
Dda3937,plant,28,0.4827586206896552
Ddia6719,carbon source,6,0.18181818181818182
Ddia6719,control,10,0.30303030303030304
Ddia6719,plant,17,0.5151515151515151
DdiaME23,carbon source,15,0.21739130434782608
DdiaME23,control,14,0.2028985507246377
DdiaME23,plant,40,0.5797101449275363
Dino,anaerobic,1,0.005376344086021506
Dino,carbon source,43,0.23118279569892472
Dino,marine broth,7,0.03763440860215054
Dino,nitrogen source,36,0.1935483870967742
Dino,stress,93,0.5
Dino,temperature,6,0.03225806451612903
DvH,fermentative growth,17,0.022457067371202115
DvH,nitrogen source,125,0.16512549537648613
DvH,nutrient,202,0.2668428005284016
DvH,respiratory growth,145,0.19154557463672392
DvH,stress,268,0.35402906208718626
Dyella79,carbon source,19,0.27941176470588236
Dyella79,lb,4,0.058823529411764705
Dyella79,nitrogen source,11,0.16176470588235295
Dyella79,stress,34,0.5
HerbieS,carbon source,52,0.5416666666666666
HerbieS,nitrogen source,1,0.010416666666666666
HerbieS,nutrient,8,0.08333333333333333
HerbieS,r2a control,6,0.0625
HerbieS,stress,13,0.13541666666666666
HerbieS,supernatant,6,0.0625
HerbieS,supernatant control:fungal media,6,0.0625
