,ANA3,BFirm,Btheta,Burk376,Caulo,Cola,Cup4G11,Dda3937,Ddia6719,DdiaME23,Dino,DvH,Dyella79,HerbieS,Kang,Keio,Korea,Koxy,MR1,Magneto,Marino,Methanococcus_JJ,Methanococcus_S2,Miya,PS,PV4,Pedo557,Phaeo,Ponti,Putida,RalstoniaBSBF1503,RalstoniaGMI1000,RalstoniaPSI07,RalstoniaUW163,SB2B,Smeli,SynE,SyringaeB728a,SyringaeB728a_mexBdelta,WCS417,acidovorax_3H11,azobra,psRCH2,pseudo13_GW456_L13,pseudo1_N1B4,pseudo3_N2E3,pseudo5_N2C3_1,pseudo6_N2E2
ANA3,5,2,0,1,0,0,2,1,1,1,0,0,2,2,0,2,2,2,4,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,4,2,0,0,0,2,2,2,2,2,2,2,2,2
BFirm,2,5,0,1,0,0,2,1,1,1,0,0,3,5,0,2,3,3,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,4,0,0,0,3,3,2,4,3,4,4,4,5
Btheta,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burk376,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
Caulo,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cola,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cup4G11,2,2,0,1,0,0,4,1,1,1,0,0,2,3,0,2,2,3,1,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,1,2,0,0,0,3,3,3,3,2,3,2,2,2
Dda3937,1,1,0,0,0,0,1,7,4,7,0,0,1,1,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
Ddia6719,1,1,0,0,0,0,1,4,4,4,0,0,1,1,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
DdiaME23,1,1,0,0,0,0,1,7,4,8,0,0,1,1,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
Dino,0,0,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DvH,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyella79,2,3,0,1,0,0,2,1,1,1,0,0,3,3,0,2,3,3,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,3,0,0,0,3,3,2,2,3,3,3,3,3
HerbieS,2,5,0,1,0,0,3,1,1,1,0,0,3,6,0,2,3,4,1,0,0,0,0,0,1,1,3,0,0,2,0,0,0,0,1,4,0,0,0,4,4,2,4,3,4,4,4,5
Kang,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keio,2,2,0,1,0,0,2,2,2,2,0,0,2,2,0,7,2,2,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,2,0,0,0,2,2,2,2,2,2,2,2,2
Korea,2,3,0,1,0,0,2,1,1,1,0,0,3,3,0,2,4,3,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,3,0,0,0,3,3,2,2,3,3,3,3,3
Koxy,2,3,0,1,0,0,3,1,1,1,0,0,3,4,0,2,3,4,1,0,0,0,0,0,1,1,3,0,0,2,0,0,0,0,1,3,0,0,0,4,4,2,2,3,3,3,3,3
MR1,4,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,1,1,1,1,1,2,1
Magneto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marino,0,0,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanococcus_JJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanococcus_S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miya,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
PV4,3,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,1,1,1,1,1,1,1
Pedo557,1,2,0,1,0,0,2,0,0,0,0,0,2,3,0,1,2,3,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,2,0,0,0,3,3,1,1,2,2,2,2,2
Phaeo,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ponti,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putida,1,1,0,1,0,0,2,0,0,0,0,0,1,2,0,2,1,2,0,0,0,0,0,0,1,0,2,0,0,5,0,0,0,0,0,1,0,0,0,2,2,1,1,1,1,1,1,1
