,ANA3,BFirm,Btheta,Burk376,Caulo,Cola,Cup4G11,Dda3937,Ddia6719,DdiaME23,Dino,DvH,Dyella79,HerbieS,Kang,Keio,Korea,Koxy,MR1,Magneto,Marino,Methanococcus_JJ,Methanococcus_S2,Miya,PS,PV4,Pedo557,Phaeo,Ponti,Putida,RalstoniaBSBF1503,RalstoniaGMI1000,RalstoniaPSI07,RalstoniaUW163,SB2B,Smeli,SynE,SyringaeB728a,SyringaeB728a_mexBdelta,WCS417,acidovorax_3H11,azobra,psRCH2,pseudo13_GW456_L13,pseudo1_N1B4,pseudo3_N2E3,pseudo5_N2C3_1,pseudo6_N2E2
ANA3,78,76,69,32,69,75,78,69,69,69,75,78,76,76,70,76,76,76,78,75,76,50,50,74,77,78,76,76,70,76,29,29,29,29,78,76,15,27,27,76,76,78,78,76,78,76,78,76
BFirm,76,76,69,32,69,75,76,69,69,69,75,76,76,76,70,76,76,76,76,75,75,50,50,72,75,76,76,75,70,76,29,29,29,29,76,76,15,27,27,76,76,76,76,76,76,76,76,76
Btheta,69,69,72,25,69,70,69,69,69,69,70,69,69,69,70,69,69,69,69,70,70,46,46,69,69,69,69,70,70,69,29,29,29,29,69,69,14,27,27,69,69,69,69,69,69,69,69,69
Burk376,32,32,25,32,25,31,32,25,25,25,31,32,32,32,26,32,32,32,32,31,31,31,31,28,31,32,32,31,26,32,8,8,8,8,32,32,14,6,6,32,32,32,32,32,32,32,32,32
Caulo,69,69,69,25,70,69,69,69,69,69,69,70,69,69,69,69,69,69,69,69,69,44,44,70,69,69,69,69,69,69,29,29,29,29,69,69,15,27,27,69,69,69,69,69,69,69,69,69
Cola,75,75,70,31,69,81,75,69,69,69,81,76,75,75,76,75,75,75,75,75,81,51,51,72,75,75,75,81,76,75,29,29,29,29,75,75,16,27,27,75,75,75,75,75,75,75,75,75
Cup4G11,78,76,69,32,69,75,80,70,69,70,75,78,76,78,70,76,76,78,78,75,76,50,50,74,79,78,78,76,70,78,29,29,29,29,78,76,15,27,27,78,78,78,78,76,78,76,78,76
Dda3937,69,69,69,25,69,69,70,72,69,72,69,69,69,70,69,69,69,70,69,69,69,44,44,69,70,69,70,70,69,70,29,29,29,29,69,69,14,27,27,70,70,69,69,69,69,69,69,69
Ddia6719,69,69,69,25,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,44,44,69,69,69,69,69,69,69,29,29,29,29,69,69,14,27,27,69,69,69,69,69,69,69,69,69
DdiaME23,69,69,69,25,69,69,70,72,69,72,69,69,69,70,69,69,69,70,69,69,69,44,44,69,70,69,70,70,69,70,29,29,29,29,69,69,14,27,27,70,70,69,69,69,69,69,69,69
