left,right,weight
ANA3,LB,44.0
ANA3,RCH2_defined_noCarbon,6.0
ANA3,ShewMM,2.0
ANA3,ShewMM_noCarbon,41.0
ANA3,ShewMM_noNitrogen,14.0
BFirm,LB,36.0
BFirm,RCH2_defined_Glucose_noNitrogen,16.0
BFirm,RCH2_defined_glucose,10.0
BFirm,RCH2_defined_glucose_noVitamin,2.0
BFirm,RCH2_defined_noCarbon,49.0
Btheta,BHIS,129.0
Btheta,Varel_Bryant_medium,112.0
Btheta,Varel_Bryant_medium_Glucose,239.0
Btheta,Varel_Bryant_medium_noNitrogen,19.0
Burk376,RCH2_defined_noCarbon,30.0
Caulo,M2_noCarbon,42.0
Caulo,M2_noNitrogen,46.0
Caulo,PYE,110.0
Cola,DinoMM_noCarbon_HighNutrient,57.0
Cola,DinoMM_noNitrogen_HighNutrient_GlucoseC,36.0
Cola,marine_broth_2216,109.0
Cup4G11,LB,1.0
Cup4G11,R2A,40.0
Cup4G11,RCH2_defined_noCarbon,42.0
Cup4G11,RCH2_defined_noNitrogen,23.0
Dda3937,LB,9.0
Dda3937,M9 minimal media_noCarbon,6.0
Dda3937,M9+polygalacturonate,3.0
Dda3937,M9+starch,3.0
Dda3937,M9+sucrose,3.0
Dda3937,Potato Dextrose Broth,6.0
Dda3937,Potato tuber,18.0
Ddia6719,LB,4.0
Ddia6719,M9 minimal media_noCarbon,6.0
Ddia6719,Potato Dextrose Broth,6.0
Ddia6719,Potato tuber,17.0
DdiaME23,LB,8.0
DdiaME23,M9 minimal media_noCarbon,6.0
DdiaME23,M9+polygalacturonate,3.0
DdiaME23,M9+starch,3.0
DdiaME23,M9+sucrose,3.0
DdiaME23,Potato Dextrose Broth,6.0
DdiaME23,Potato stem,22.0
DdiaME23,Potato tuber,18.0
Dino,DinoMM_noCarbon,1.0
Dino,DinoMM_noCarbon_HighNutrient,42.0
Dino,DinoMM_noNitrogen_HighNutrient,36.0
Dino,marine_broth_2216,107.0
DvH,Dv_base_Y_medium,36.0
DvH,Dv_base_medium,111.0
DvH,Dv_base_medium_no_Mo,3.0
DvH,Dv_base_medium_no_Mo_no_W,7.0
DvH,Dv_base_medium_no_W,5.0
DvH,LS4D,3.0
DvH,MoLS4,168.0
DvH,MoLS4_no_B12,6.0
DvH,MoLS4_no_Biotin,3.0
DvH,MoLS4_no_Choline_chloride,6.0
DvH,MoLS4_no_Folic_acid,5.0
DvH,MoLS4_no_Mo,3.0
DvH,MoLS4_no_Mo_no_W,3.0
DvH,MoLS4_no_Pantothenic_acid,5.0
DvH,MoLS4_no_Pyridoxine,5.0
DvH,MoLS4_no_W,3.0
DvH,MoLS4_no_ammonium,110.0
DvH,MoLS4_no_ammonium_no_Mo,3.0
DvH,MoLS4_no_ammonium_no_Mo_no_W,6.0
DvH,MoLS4_no_ammonium_no_W,6.0
DvH,MoLS4_no_lipoic_acid,3.0
DvH,MoLS4_no_nicotinic_acid,3.0
DvH,MoLS4_no_sulfide,3.0
DvH,MoLS4_no_thiamine,3.0
DvH,MoLS4_no_vitamins,15.0
DvH,MoYLS4,224.0
DvH,MoYLS4_no_iron,9.0
Dyella79,LB,38.0
Dyella79,RCH2_defined_Glucose_noNitrogen,11.0
Dyella79,RCH2_defined_noCarbon,19.0
HerbieS,LB,13.0
HerbieS,R2A,18.0
HerbieS,RCH2_defined_Glucose_noNitrogen,1.0
HerbieS,RCH2_defined_glucose,10.0
HerbieS,RCH2_defined_glucose_noVitamin,2.0
HerbieS,RCH2_defined_noCarbon,52.0
Kang,marine_broth_2216,108.0
Keio,LB,64.0
Keio,M63_no_sulfur,4.0
Keio,M9 minimal media_noCarbon,56.0
Keio,M9 minimal media_noNitrogen,32.0
Keio,MOPS Rich Defined media_noCarbon,4.0
Keio,MOPS minimal media_noCarbon,2.0
Keio,RCH2_defined_noCarbon,6.0
Korea,LB,115.0
Korea,RCH2_defined_Glucose_noNitrogen,8.0
Korea,RCH2_defined_noCarbon,27.0
Korea,RCH2_defined_noCarbon_noVitamins,12.0
Koxy,LB,39.0
Koxy,R2A,21.0
Koxy,RCH2_defined_Glucose_noNitrogen,64.0
Koxy,RCH2_defined_noCarbon,84.0
MR1,LB,101.0
MR1,RCH2_defined,1.0
MR1,ShewMM,6.0
MR1,ShewMM_MES_buffer,2.0
MR1,ShewMM_noCarbon,31.0
MR1,ShewMM_noNitrogen,35.0
Magneto,MG minimal media,1.0
Magneto,MG minimal media_noCarbon,1.0
Magneto,MG minimal media_noIron,34.0
Marino,DinoMM_L_lactateCarbon_HighNutrient,5.0
Marino,DinoMM_L_lactateCarbon_HighNutrient_noVitamin,1.0
Marino,DinoMM_alphaKetoGlutAcid_NoNitrogen,23.0
Marino,DinoMM_noCarbon,13.0
Marino,DinoMM_noCarbon_HighNutrient,41.0
Marino,DinoMM_noNitrogen_HighNutrient,13.0
Marino,marine_broth_2216,159.0
Methanococcus_JJ,McAA_formate,3.0
Methanococcus_JJ,McAA_formate_No_B12,3.0
Methanococcus_JJ,McAA_formate_No_CaPantothenate,3.0
Methanococcus_JJ,McAA_formate_No_FolicAcid,3.0
Methanococcus_JJ,McAA_formate_No_NicotinicAcid,3.0
Methanococcus_JJ,McAA_formate_No_Pyroxidine,3.0
Methanococcus_JJ,McAA_formate_No_Riboflavin,3.0
Methanococcus_JJ,McAA_formate_No_Thiamine,3.0
Methanococcus_JJ,McAA_formate_No_biotin,3.0
Methanococcus_JJ,McAA_formate_No_lipolicAcid,3.0
Methanococcus_JJ,McAA_formate_No_pABA,3.0
Methanococcus_JJ,McCas,4.0
Methanococcus_JJ,McCas_Formate_complete,3.0
Methanococcus_JJ,McCas_H2_Fe_Free,9.0
Methanococcus_JJ,McCas_H2_complete,6.0
Methanococcus_JJ,McCas_MOPS,6.0
Methanococcus_JJ,McCas_formate_Fe_Free,9.0
Methanococcus_JJ,McCas_formate_complete,3.0
Methanococcus_JJ,Mc_H2_N_Free,16.0
Methanococcus_JJ,Mc_defined_H2,16.0
Methanococcus_JJ,Mc_defined_formate,18.0
Methanococcus_JJ,Mc_formate_N_Free,6.0
Methanococcus_S2,McAA_formate,3.0
Methanococcus_S2,McAA_formate_No_B12,3.0
Methanococcus_S2,McAA_formate_No_CaPantothenate,3.0
Methanococcus_S2,McAA_formate_No_FolicAcid,3.0
Methanococcus_S2,McAA_formate_No_NicotinicAcid,3.0
Methanococcus_S2,McAA_formate_No_Pyroxidine,3.0
Methanococcus_S2,McAA_formate_No_Riboflavin,3.0
Methanococcus_S2,McAA_formate_No_Thiamine,3.0
Methanococcus_S2,McAA_formate_No_biotin,3.0
Methanococcus_S2,McAA_formate_No_lipolicAcid,3.0
Methanococcus_S2,McAA_formate_No_pABA,3.0
Methanococcus_S2,McCas,30.0
Methanococcus_S2,McCas_H2_Fe_Free,9.0
Methanococcus_S2,McCas_H2_No_Na2S,17.0
Methanococcus_S2,McCas_H2_complete,33.0
Methanococcus_S2,McCas_MOPS,6.0
Methanococcus_S2,McCas_formate_Fe_Free,9.0
Methanococcus_S2,McCas_formate_complete,12.0
Methanococcus_S2,Mc_H2_N_Free,52.0
Methanococcus_S2,Mc_defined_H2,70.0
Methanococcus_S2,Mc_defined_formate,58.0
Methanococcus_S2,Mc_formate,36.0
Methanococcus_S2,Mc_formate_N_Free,6.0
Miya,MoLS4,57.0
Miya,MoLS4_no_ammonia,8.0
Miya,MoLS4_no_lactate,12.0
Miya,MoYLS4,101.0
PS,ALP_defined_noC,32.0
PS,ALP_rich,12.0
PS,ALP_richB,31.0
PS,R2A,4.0
PV4,LB,133.0
PV4,ShewMM,3.0
PV4,ShewMM_noCarbon,24.0
Pedo557,R2A,99.0
Pedo557,RCH2_defined_Glucose_noNitrogen,43.0
Pedo557,RCH2_defined_noCarbon,35.0
Phaeo,DinoMM_L_lactateCarbon_HighNutrient,6.0
Phaeo,DinoMM_L_lactateCarbon_HighNutrient_noVitamin,2.0
Phaeo,DinoMM_noCarbon,33.0
Phaeo,DinoMM_noCarbon_HighNutrient,66.0
Phaeo,DinoMM_noNitrogen_HighNutrient_SucroseC,30.0
Phaeo,marine_broth_2216,137.0
Ponti,marine_broth_2216,104.0
Putida,M9_1percentGlucose,22.0
Putida,MOPS minimal media_Glucose_noNitrogen,104.0
Putida,MOPS minimal media_noCarbon,108.0
Putida,R2A,46.0
Putida,RCH2_defined_noCarbon,20.0
RalstoniaBSBF1503,CPG,3.0
RalstoniaBSBF1503,M63_quarter_strength,2.0
RalstoniaGMI1000,CPG,2.0
RalstoniaGMI1000,M63_quarter_strength,3.0
RalstoniaPSI07,CPG,2.0
RalstoniaPSI07,M63_quarter_strength,3.0
RalstoniaUW163,CPG,3.0
RalstoniaUW163,M63_quarter_strength,3.0
SB2B,LB,88.0
SB2B,ShewMM,6.0
SB2B,ShewMM_noCarbon,64.0
SB2B,ShewMM_noNitrogen,32.0
Smeli,LB,38.0
Smeli,RCH2_defined_Glucose_noNitrogen,13.0
Smeli,RCH2_defined_glucose,6.0
Smeli,RCH2_defined_noCarbon,33.0
SynE,BG11,116.0
SynE,BG11_noNitrogen,13.0
SyringaeB728a,KB,23.0
SyringaeB728a_mexBdelta,KB,23.0
WCS417,LB,45.0
