,LB,RCH2_defined_noCarbon,marine_broth_2216,RCH2_defined_Glucose_noNitrogen,R2A,Varel_Bryant_medium_Glucose,MoYLS4,DinoMM_noCarbon_HighNutrient,MoLS4,RCH2_defined_noNitrogen,ShewMM_noCarbon,MOPS minimal media_noCarbon,BHIS,MOPS minimal media_Glucose_noNitrogen,Varel_Bryant_medium,PYE,Dv_base_medium,MoLS4_no_ammonium,ShewMM_noNitrogen,M9 minimal media_noCarbon,BG11,RCH2_defined_glucose,KB,Potato tuber,DinoMM_noNitrogen_HighNutrient,DinoMM_noCarbon,M2_noNitrogen,DinoMM_noNitrogen_HighNutrient_GlucoseC,M2_noCarbon,M9 minimal media_noNitrogen,RCH2_defined_no_vitamin,MG minimal media_noIron,Mc_defined_H2,M9_1percentGlucose,Dv_base_Y_medium,Mc_defined_formate,DinoMM_noNitrogen_HighNutrient_SucroseC,Mc_H2_N_Free,DinoMM_alphaKetoGlutAcid_NoNitrogen,Potato stem,ALP_defined_noC,ALP_richB,Varel_Bryant_medium_noNitrogen,RCH2_Lactate_Nitrate_YE,Potato Dextrose Broth,ShewMM,McCas_H2_complete,RCH2_defined_glucose_TAPS,Mc_formate,M63_quarter_strength,McCas,MoLS4_no_vitamins,RCH2_defined_noCarbon_noVitamins,RCH2_Lactate_1_M_Fe-Cu,CPG,DinoMM_L_lactateCarbon_HighNutrient,RCH2_defined_glucose_noVitamin,ALP_rich,MoLS4_no_lactate,RCH2_defined_glucose_MES
ANA3,161392,22008,0,0,0,0,0,0,0,0,150388,0,0,0,0,0,0,0,51352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFirm,195408,265972,0,86848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10856,0,0,0
Btheta,0,0,0,0,0,969145,0,0,0,0,0,0,523095,0,454160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burk376,0,154590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364320,0,0,0,0,0,0,0,0,0,0,152352,0,139104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cola,0,0,430986,0,0,0,0,225378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cup4G11,6384,268128,0,0,255360,0,0,0,0,146832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dda3937,33345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22230,0,0,0,66690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ddia6719,14112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21168,0,0,0,59976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DdiaME23,30088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22566,0,0,0,67698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82742,0,0,0,0,22566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dino,0,0,341009,0,0,0,0,133854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114732,3187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DvH,0,0,0,0,0,0,613984,0,460488,0,0,0,0,0,0,0,304251,301510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41115,0,0,0,0,0,0,0,0
Dyella79,137750,68875,0,39875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HerbieS,50427,201708,0,3879,69822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7758,0,0,0
Kang,0,0,216324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keio,242496,22734,0,0,0,0,0,0,0,0,0,7578,0,0,0,0,0,0,0,212184,0,0,0,0,0,0,0,0,0,121248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korea,390195,91611,0,27144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40716,0,0,0,0,0,0,0
Koxy,179712,387072,0,294912,96768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR1,381982,0,0,0,0,0,0,0,0,0,117242,0,0,0,0,0,0,0,132370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magneto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marino,0,0,580350,0,0,0,0,149650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47450,47450,0,0,0,0,0,0,0,0,0,0,0,0,83950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18250,0,0,0,0
Methanococcus_JJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22128,0,0,24894,0,22128,0,0,0,0,0,0,0,0,8298,0,0,0,5532,0,0,0,0,0,0,0,0,0
Methanococcus_S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87080,0,0,72152,0,64688,0,0,0,0,0,0,0,0,41052,0,44784,0,37320,0,0,0,0,0,0,0,0,0
Miya,0,0,0,0,0,0,255631,0,144267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30372,0
PS,0,0,0,0,10244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81952,79391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30732,0,0
PV4,400197,0,0,0,0,0,0,0,0,0,72216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedo557,0,154805,0,190189,437877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phaeo,0,0,424563,0,0,0,0,204534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102267,0,0,0,0,0,0,0,0,0,0,92970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18594,0,0,0,0
Ponti,0,0,383240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putida,0,95560,0,0,219788,0,0,0,0,0,0,516024,0,496912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RalstoniaBSBF1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7558,0,0,0,0,11337,0,0,0,0,0
RalstoniaGMI1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11940,0,0,0,0,7960,0,0,0,0,0
RalstoniaPSI07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12087,0,0,0,0,8058,0,0,0,0,0
RalstoniaUW163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11385,0,0,0,0,11385,0,0,0,0,0
