orgId,mapped,unmapped
DvH,1.0,0.0
Methanococcus_S2,1.0,0.0
Methanococcus_JJ,1.0,0.0
psRCH2,0.8888888888888888,0.1111111111111111
DdiaME23,0.625,0.375
Marino,1.0,0.0
Dda3937,0.7142857142857143,0.2857142857142857
Keio,1.0,0.0
pseudo5_N2C3_1,1.0,0.0
pseudo1_N1B4,1.0,0.0
MR1,1.0,0.0
Phaeo,1.0,0.0
HerbieS,1.0,0.0
pseudo3_N2E3,1.0,0.0
BFirm,1.0,0.0
ANA3,1.0,0.0
pseudo6_N2E2,1.0,0.0
Putida,1.0,0.0
acidovorax_3H11,1.0,0.0
Smeli,1.0,0.0
PS,1.0,0.0
Cup4G11,1.0,0.0
Ddia6719,0.5,0.5
Dino,1.0,0.0
Btheta,1.0,0.0
SB2B,1.0,0.0
WCS417,1.0,0.0
Koxy,1.0,0.0
Korea,1.0,0.0
Miya,1.0,0.0
Cola,1.0,0.0
Dyella79,1.0,0.0
PV4,1.0,0.0
Magneto,1.0,0.0
Caulo,1.0,0.0
pseudo13_GW456_L13,1.0,0.0
azobra,1.0,0.0
Pedo557,1.0,0.0
SynE,1.0,0.0
RalstoniaGMI1000,1.0,0.0
RalstoniaPSI07,1.0,0.0
RalstoniaUW163,1.0,0.0
RalstoniaBSBF1503,1.0,0.0
Burk376,1.0,0.0
Kang,1.0,0.0
Ponti,1.0,0.0
SyringaeB728a_mexBdelta,1.0,0.0
SyringaeB728a,1.0,0.0
