bin_left,bin_right,count
0.5,1.5,12
1.5,2.5,4
2.5,3.5,3
3.5,4.5,5
4.5,5.5,0
5.5,6.5,5
6.5,7.5,0
7.5,8.5,2
8.5,9.5,1
9.5,10.5,1
10.5,11.5,0
11.5,12.5,1
12.5,13.5,0
13.5,14.5,1
14.5,15.5,0
15.5,16.5,0
16.5,17.5,0
17.5,18.5,0
18.5,19.5,0
19.5,20.5,0
20.5,21.5,0
21.5,22.5,0
22.5,23.5,0
23.5,24.5,0
24.5,25.5,1
25.5,26.5,0
26.5,27.5,0
27.5,28.5,0
28.5,29.5,0
29.5,30.5,0
30.5,31.5,0
31.5,32.5,0
32.5,33.5,3
33.5,34.5,2
34.5,35.5,0
35.5,36.5,0
36.5,37.5,1
37.5,38.5,21
38.5,39.5,1
39.5,40.5,1
40.5,41.5,9
41.5,42.5,9
42.5,43.5,0
43.5,44.5,1
44.5,45.5,1
45.5,46.5,20
46.5,47.5,2
47.5,48.5,4
