protocol_split,extract,mix,physical
high_overlap_easy|test,0.386565011333196,0.4882234668964527,0.12521152177035139
high_overlap_easy|train,0.38511387571954453,0.3370784781585966,0.2778076461218589
high_overlap_easy|val,0.28656081935983446,0.1947085954252586,0.518730585214907
largest_by_rows|test,0.19859664773799515,0.23993769993166206,0.5614656523303428
largest_by_rows|train,0.4041272346726708,0.36761768506067394,0.22825508026665522
largest_by_rows|val,0.24374463212138564,0.0,0.7562553678786144
low_overlap_stress|test,0.7915662952925826,0.09341993949040021,0.11501376521701726
low_overlap_stress|train,0.3776662051197922,0.33095537296316213,0.29137842191704566
low_overlap_stress|val,0.0,0.32109343125254997,0.67890656874745
multi_org_balanced|test,0.8071557971014492,0.13097426470588236,0.06186993819266838
multi_org_balanced|train,0.36642471077387456,0.32049045642793195,0.3130848327981934
multi_org_balanced|val,0.3864781986195593,0.4778300014568086,0.13569179992363212
