_,n_organisms
all_chemicals,1
all_chemicals,41
all_chemicals,1
all_chemicals,6
all_chemicals,38
all_chemicals,38
all_chemicals,1
all_chemicals,33
all_chemicals,46
all_chemicals,46
all_chemicals,46
all_chemicals,46
all_chemicals,37
all_chemicals,6
all_chemicals,41
all_chemicals,42
all_chemicals,41
all_chemicals,38
all_chemicals,8
all_chemicals,42
all_chemicals,1
all_chemicals,42
all_chemicals,38
all_chemicals,42
all_chemicals,46
all_chemicals,38
all_chemicals,4
all_chemicals,38
all_chemicals,6
all_chemicals,45
all_chemicals,39
all_chemicals,41
all_chemicals,2
all_chemicals,42
all_chemicals,46
all_chemicals,46
all_chemicals,46
all_chemicals,40
all_chemicals,38
all_chemicals,38
all_chemicals,33
all_chemicals,4
all_chemicals,9
all_chemicals,1
all_chemicals,46
all_chemicals,38
all_chemicals,46
all_chemicals,38
all_chemicals,38
all_chemicals,48
all_chemicals,12
all_chemicals,14
all_chemicals,46
all_chemicals,41
all_chemicals,46
all_chemicals,4
all_chemicals,46
all_chemicals,48
all_chemicals,42
all_chemicals,42
all_chemicals,4
all_chemicals,38
all_chemicals,42
all_chemicals,47
all_chemicals,38
all_chemicals,46
all_chemicals,41
all_chemicals,3
all_chemicals,33
all_chemicals,1
all_chemicals,46
all_chemicals,38
all_chemicals,1
all_chemicals,48
all_chemicals,25
all_chemicals,47
all_chemicals,2
all_chemicals,46
all_chemicals,38
all_chemicals,38
all_chemicals,41
all_chemicals,8
all_chemicals,1
all_chemicals,41
all_chemicals,4
all_chemicals,34
all_chemicals,46
all_chemicals,6
all_chemicals,48
all_chemicals,38
all_chemicals,6
all_chemicals,10
all_chemicals,1
all_chemicals,3
all_chemicals,3
all_chemicals,1
all_chemicals,1
all_chemicals,41
all_chemicals,46
all_chemicals,38
all_chemicals,1
all_chemicals,2
all_chemicals,2
all_chemicals,44
all_chemicals,34
all_chemicals,46
all_chemicals,38
all_chemicals,38
all_chemicals,46
all_chemicals,38
all_chemicals,42
