,pi,mg2,k,so4,cl,ca2,na1,cu2,zn2,mn2,cobalt2,mobd,fe2,cbl1,ni2,nh4,pnto-R,nac,thm,4abz,ribflv,pydxn,lipoate,btn,fol,bo3,cys-L,glc-D,sel,tungs,ncam,pheme,his-L,glu-L,gly,asp-L,gln-L,phe-L,ser-L,thr-L,tyr-L,val-L,pro-L,ile-L,arg-L,asn-L,ala-L,met-L,lys-L,leu-L,fe3,trp-L,al3,glyc,gua,csn,ade,ura,inost,xan,thymd,ins,etha,gsn,hxan,adn,cytd,ptrc,pydx,spmd,uri,chol,mqn8,nta,h,hco3,pipes,h2s,lac-L,lac-D,edta,f,br,sr2,rsz,cit,tris,si,ac,pyr,starch,mops,for,tricine,no3,hepes,phyllo,co3,sucr,thgl
ANA3,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,93,107,107,107,107,107,107,107,107,107,63,44,44,63,63,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,63,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,63,63,0,63,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFirm,113,113,113,113,113,113,113,113,113,113,113,113,113,111,113,97,111,111,111,111,111,111,111,111,111,77,36,64,77,77,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,77,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,77,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btheta,499,499,499,499,499,499,499,129,129,129,129,129,129,499,129,480,129,129,129,129,129,129,129,129,129,0,499,368,0,0,129,499,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,0,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,0,0,370,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0
Burk376,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caulo,198,198,198,198,198,198,198,110,110,110,110,110,198,110,110,152,110,110,110,110,110,110,110,110,110,0,110,156,0,0,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,0,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cola,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,166,202,202,202,202,202,202,202,202,202,202,109,145,93,93,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,93,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,93,93,202,0,0,0,0,0,202,202,202,0,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0
Cup4G11,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,83,106,106,106,106,106,106,106,106,106,65,41,41,65,65,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,65,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,65,65,0,65,0,23,23,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0
Dda3937,24,24,24,24,24,24,24,9,9,9,9,9,9,9,9,24,9,9,9,9,9,9,9,9,9,0,9,9,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0
Ddia6719,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,10,4,4,4,4,4,4,4,4,4,0,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DdiaME23,23,23,23,23,23,23,23,8,8,8,8,8,8,8,8,23,8,8,8,8,8,8,8,8,8,0,8,8,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0
