Canonical_ID,n_organisms,n_experiments,rank
pi,48,7352,1
mg2,48,7352,2
k,48,7352,3
so4,48,7348,4
pnto-R,47,6323,5
nac,47,6319,6
asn-L,46,3306,7
his-L,46,3306,8
ile-L,46,3306,9
arg-L,46,3306,10
ala-L,46,3306,11
asp-L,46,3306,12
glu-L,46,3306,13
gly,46,3306,14
cys-L,46,3954,15
leu-L,46,3306,16
ser-L,46,3306,17
tyr-L,46,3306,18
thr-L,46,3306,19
val-L,46,3306,20
pro-L,46,3306,21
phe-L,46,3306,22
nh4,46,6329,23
met-L,46,3306,24
lys-L,46,3306,25
gln-L,46,3306,26
fe2,45,6661,27
trp-L,44,3084,28
mn2,42,6687,29
zn2,42,6687,30
mobd,42,6662,31
cl,42,7295,32
glc-D,42,3905,33
cu2,42,6687,34
na1,42,7291,35
ca2,42,7291,36
cobalt2,42,6687,37
4abz,41,6267,38
cbl1,41,6633,39
thm,41,6267,40
pydxn,41,6263,41
ribflv,41,6263,42
btn,41,6263,43
fol,41,6263,44
lipoate,41,6263,45
ni2,41,6340,46
glyc,40,3070,47
fe3,39,3154,48
spmd,38,3024,49
uri,38,3024,50
thymd,38,3024,51
ura,38,3028,52
xan,38,3024,53
gsn,38,3024,54
adn,38,3024,55
gua,38,3028,56
pydx,38,3024,57
ptrc,38,3024,58
pheme,38,3394,59
inost,38,3024,60
ins,38,3024,61
mqn8,38,3024,62
ncam,38,3535,63
ade,38,3028,64
cytd,38,3024,65
chol,38,3024,66
csn,38,3028,67
etha,38,3024,68
hxan,38,3024,69
bo3,37,4862,70
tungs,34,3761,71
sel,34,3791,72
nta,33,2859,73
al3,33,3077,74
h,33,2859,75
pipes,25,1826,76
lac-L,14,1248,77
lac-D,12,1234,78
starch,10,266,79
hco3,9,1999,80
pyr,8,303,81
cit,8,856,82
ac,6,627,83
br,6,1129,84
f,6,1129,85
si,6,724,86
sr2,6,1129,87
mes,4,7,88
mops,4,230,89
rsz,4,906,90
h2s,4,1412,91
edta,4,1149,92
taps,3,10,93
sucr,3,36,94
no3,3,186,95
tris,2,770,96
for,2,226,97
polygalact,2,6,98
tricine,2,218,99
akg,1,23,100
co3,1,129,101
34dhbz,1,4,102
4hbz,1,4,103
hepes,1,162,104
oh,1,4,105
phyllo,1,129,106
quin,1,2,107
succ,1,35,108
ti3,1,3,109
thgl,1,36,110
tartr-L,1,35,111
