x,y,color_value,label
-1.0094157,1.4335394,1.0,ALP_defined_noC
4.814462,-1.3327762,1.0,ALP_rich
4.8144655,-1.3327752,1.0,ALP_richB
-2.3315032,-1.9050286,1.0,BG11
-2.3315022,-1.9050286,1.0,BG11_noNitrogen
4.49137,-2.6342134,1.0,BHIS
1.1184471,-3.0351582,4.0,CPG
-1.0122794,1.6866546,2.0,DinoMM_L_lactateCarbon_HighNutrient
-2.0210214,-0.16246529,2.0,DinoMM_L_lactateCarbon_HighNutrient_noVitamin
-1.0144922,1.7199954,1.0,DinoMM_alphaKetoGlutAcid_NoNitrogen
-0.9784656,1.6812375,3.0,DinoMM_noCarbon
-0.9784656,1.6812375,4.0,DinoMM_noCarbon_HighNutrient
-0.91432893,1.828124,0.0,DinoMM_noNitrogen
-0.9143288,1.828124,2.0,DinoMM_noNitrogen_HighNutrient
-0.943759,1.6020082,1.0,DinoMM_noNitrogen_HighNutrient_GlucoseC
-1.0184317,1.7116776,1.0,DinoMM_noNitrogen_HighNutrient_SucroseC
4.4608073,-2.035036,1.0,Dv_base_Y_medium
-1.2404524,0.78027314,1.0,Dv_base_medium
-1.2978745,0.66571677,1.0,Dv_base_medium_no_Mo
-1.3322428,0.4787624,1.0,Dv_base_medium_no_Mo_no_W
-1.274821,0.5933189,1.0,Dv_base_medium_no_W
1.1451483,-2.973945,2.0,KB
4.4846463,-2.625435,24.0,LB
-1.0173854,1.411882,1.0,LS4D
-2.6455045,-2.431517,1.0,M2_noCarbon
-2.6107972,-2.5107458,1.0,M2_noNitrogen
-2.5966551,-2.4707468,1.0,M63_no_sulfur
-2.5949385,-2.4806907,4.0,M63_quarter_strength
-2.6222672,-2.484937,4.0,M9 minimal media_noCarbon
-2.5875602,-2.5641663,1.0,M9 minimal media_noNitrogen
-2.6261985,-2.493246,2.0,M9+polygalacturonate
-2.6194391,-2.502142,2.0,M9+starch
-2.6277251,-2.4875228,2.0,M9+sucrose
-2.5530524,-2.597192,1.0,M9_1percentGlucose
4.9960303,-1.2689884,1.0,MG minimal media
-0.8454154,1.4375467,1.0,MG minimal media_noCarbon
4.989817,-1.2695503,1.0,MG minimal media_noIron
1.9547782,-1.9500941,1.0,MOPS Rich Defined media_noCarbon
-2.1997368,-1.5367422,1.0,MOPS minimal media_Glucose_noNitrogen
-2.2689526,-1.4244869,2.0,MOPS minimal media_noCarbon
2.6979342,1.405036,2.0,McAA_formate
2.6979342,1.405036,2.0,McAA_formate_No_B12
2.6979342,1.405036,2.0,McAA_formate_No_CaPantothenate
2.6979342,1.405036,2.0,McAA_formate_No_FolicAcid
2.6979342,1.405036,2.0,McAA_formate_No_NicotinicAcid
2.6979342,1.405036,2.0,McAA_formate_No_Pyroxidine
2.6979342,1.405036,2.0,McAA_formate_No_Riboflavin
2.6979342,1.405036,2.0,McAA_formate_No_Thiamine
2.6979342,1.405036,2.0,McAA_formate_No_biotin
2.6979342,1.405036,2.0,McAA_formate_No_lipolicAcid
2.6979342,1.405036,2.0,McAA_formate_No_pABA
2.6438487,1.3200792,2.0,McCas
2.6979342,1.405036,1.0,McCas_Formate_complete
2.6438487,1.3200792,2.0,McCas_H2_Fe_Free
2.6187696,1.2303816,1.0,McCas_H2_No_Na2S
2.6438487,1.3200792,2.0,McCas_H2_complete
2.6440432,1.3080711,2.0,McCas_MOPS
2.6979342,1.405036,2.0,McCas_formate_Fe_Free
2.6979342,1.405036,2.0,McCas_formate_complete
-0.62377983,1.877592,2.0,Mc_H2_N_Free
-0.5892718,1.8445662,2.0,Mc_defined_H2
-0.5351867,1.9295225,2.0,Mc_defined_formate
-0.5351867,1.9295225,1.0,Mc_formate
-0.5696945,1.9625485,2.0,Mc_formate_N_Free
-1.2833819,0.7540471,2.0,MoLS4
-2.3580277,-1.0421996,1.0,MoLS4_no_B12
-2.3580277,-1.0421996,1.0,MoLS4_no_Biotin
-2.3580277,-1.0421996,1.0,MoLS4_no_Choline_chloride
-2.3580277,-1.0421996,1.0,MoLS4_no_Folic_acid
-1.3408045,0.63949066,1.0,MoLS4_no_Mo
-1.3751732,0.45253652,1.0,MoLS4_no_Mo_no_W
-2.3580277,-1.0421996,1.0,MoLS4_no_Pantothenic_acid
-2.3580277,-1.0421996,1.0,MoLS4_no_Pyridoxine
-1.3177509,0.567093,1.0,MoLS4_no_W
-1.3178903,0.7870729,1.0,MoLS4_no_ammonia
-1.3178903,0.7870729,1.0,MoLS4_no_ammonium
-1.3753126,0.6725167,1.0,MoLS4_no_ammonium_no_Mo
-1.4096811,0.48556265,1.0,MoLS4_no_ammonium_no_Mo_no_W
-1.352259,0.60011894,1.0,MoLS4_no_ammonium_no_W
-1.2202955,0.7482925,1.0,MoLS4_no_lactate
-2.3580277,-1.0421996,1.0,MoLS4_no_lipoic_acid
-2.3580277,-1.0421996,1.0,MoLS4_no_nicotinic_acid
-1.3084617,0.6643491,1.0,MoLS4_no_sulfide
-2.3580277,-1.0421996,1.0,MoLS4_no_thiamine
-2.3580277,-1.0421996,1.0,MoLS4_no_vitamins
4.417877,-2.061262,2.0,MoYLS4
4.417877,-2.061262,1.0,MoYLS4_no_iron
4.4846463,-2.625435,1.0,PYE
4.5086374,-2.6603894,8.0,R2A
-1.0800571,1.475506,1.0,RCH2_Lactate_1_M_Fe-Cu
4.700845,-1.4137545,1.0,RCH2_Lactate_Nitrate_YE
4.687106,-1.3926764,1.0,RCH2_Lactate_YE_1_M_Fe-Cu
-1.0800571,1.475506,2.0,RCH2_defined
-0.98226357,1.3905219,14.0,RCH2_defined_Glucose_noNitrogen
-1.0755273,1.4485567,0.0,RCH2_defined_TAPS
-0.94775546,1.357496,8.0,RCH2_defined_glucose
-0.9416132,1.3257029,0.0,RCH2_defined_glucose_CAPS
-0.9432255,1.3305466,3.0,RCH2_defined_glucose_MES
-0.9432253,1.3305466,3.0,RCH2_defined_glucose_TAPS
-1.9564973,-0.49162367,4.0,RCH2_defined_glucose_noVitamin
-1.0169703,1.4697511,21.0,RCH2_defined_noCarbon
-2.0257123,-0.37936834,1.0,RCH2_defined_noCarbon_noVitamins
-1.1145654,1.5085318,4.0,RCH2_defined_noNitrogen
