Canonical_ID,n_organisms,n_experiments
34dhbz,1,4
4abz,41,6267
4hbz,1,4
ac,6,627
ade,38,3028
adn,38,3024
akg,1,23
al3,33,3077
ala-L,46,3306
arg-L,46,3306
asn-L,46,3306
asp-L,46,3306
bo3,37,4862
br,6,1129
btn,41,6263
ca2,42,7291
cbl1,41,6633
chol,38,3024
cit,8,856
cl,42,7295
co3,1,129
cobalt2,42,6687
csn,38,3028
cu2,42,6687
cys-L,46,3954
cytd,38,3024
edta,4,1149
etha,38,3024
f,6,1129
fe2,45,6661
fe3,39,3154
fol,41,6263
for,2,226
glc-D,42,3905
gln-L,46,3306
glu-L,46,3306
gly,46,3306
glyc,40,3070
gsn,38,3024
gua,38,3028
h,33,2859
h2s,4,1412
hco3,9,1999
hepes,1,162
his-L,46,3306
hxan,38,3024
ile-L,46,3306
inost,38,3024
ins,38,3024
k,48,7352
lac-D,12,1234
lac-L,14,1248
leu-L,46,3306
lipoate,41,6263
lys-L,46,3306
mes,4,7
met-L,46,3306
mg2,48,7352
mn2,42,6687
mobd,42,6662
mops,4,230
mqn8,38,3024
na1,42,7291
nac,47,6319
ncam,38,3535
nh4,46,6329
ni2,41,6340
no3,3,186
nta,33,2859
oh,1,4
phe-L,46,3306
pheme,38,3394
phyllo,1,129
pi,48,7352
pipes,25,1826
pnto-R,47,6323
polygalact,2,6
pro-L,46,3306
ptrc,38,3024
pydx,38,3024
pydxn,41,6263
pyr,8,303
quin,1,2
ribflv,41,6263
rsz,4,906
sel,34,3791
ser-L,46,3306
si,6,724
so4,48,7348
spmd,38,3024
sr2,6,1129
starch,10,266
succ,1,35
sucr,3,36
taps,3,10
tartr-L,1,35
thgl,1,36
thm,41,6267
thr-L,46,3306
thymd,38,3024
ti3,1,3
tricine,2,218
tris,2,770
trp-L,44,3084
tungs,34,3761
tyr-L,46,3306
ura,38,3028
uri,38,3024
val-L,46,3306
xan,38,3024
zn2,42,6687
