orgId,mapped_media,total_media,fraction_mapped
ANA3,5,5,1.0
BFirm,5,5,1.0
Btheta,4,4,1.0
Burk376,1,1,1.0
Caulo,3,3,1.0
Cola,3,3,1.0
Cup4G11,4,4,1.0
DvH,27,27,1.0
Kang,1,1,1.0
Dino,4,4,1.0
HerbieS,6,6,1.0
Dyella79,3,3,1.0
Keio,7,7,1.0
MR1,6,6,1.0
Koxy,4,4,1.0
Korea,4,4,1.0
RalstoniaPSI07,2,2,1.0
RalstoniaUW163,2,2,1.0
SB2B,4,4,1.0
Magneto,3,3,1.0
Marino,7,7,1.0
Methanococcus_JJ,22,22,1.0
Methanococcus_S2,23,23,1.0
Miya,4,4,1.0
PS,4,4,1.0
PV4,3,3,1.0
Pedo557,3,3,1.0
Phaeo,6,6,1.0
Ponti,1,1,1.0
Putida,5,5,1.0
RalstoniaBSBF1503,2,2,1.0
RalstoniaGMI1000,2,2,1.0
acidovorax_3H11,4,4,1.0
azobra,3,3,1.0
pseudo13_GW456_L13,3,3,1.0
Smeli,4,4,1.0
SynE,2,2,1.0
SyringaeB728a,1,1,1.0
SyringaeB728a_mexBdelta,1,1,1.0
WCS417,4,4,1.0
pseudo5_N2C3_1,7,7,1.0
pseudo3_N2E3,6,6,1.0
pseudo6_N2E2,5,5,1.0
pseudo1_N1B4,7,7,1.0
psRCH2,8,9,0.8888888888888888
Dda3937,5,7,0.7142857142857143
DdiaME23,5,8,0.625
Ddia6719,2,4,0.5
