orgId,n_rows_total,n_rows_with_embedding,fraction_covered
Btheta,2104545,2104026,0.9997533908754624
HerbieS,372384,372288,0.9997422015983501
Smeli,461970,461790,0.9996103643093708
SynE,244971,244842,0.9994734070563455
Marino,930750,930240,0.9994520547945206
Dino,592782,592410,0.9993724505804832
pseudo1_N1B4,637392,636951,0.9993081180811808
pseudo3_N2E3,1060908,1060064,0.9992044550517104
pseudo13_GW456_L13,461100,460676,0.999080459770115
Cola,798708,797900,0.9989883662114315
BFirm,613364,612686,0.998894620486367
WCS417,888219,887214,0.9988685222901109
pseudo5_N2C3_1,955512,954408,0.998844598497978
Burk376,154590,154410,0.9988356297302542
psRCH2,1172150,1170750,0.9988056136160047
pseudo6_N2E2,965004,963688,0.9986362750827976
Phaeo,849126,847756,0.9983865763149403
Cup4G11,676704,675538,0.9982769423558897
Putida,1433400,1430700,0.9981163666806195
Dyella79,246500,246024,0.9980689655172413
PS,202319,201924,0.9980476376415462
Caulo,655776,654390,0.9978864734299517
acidovorax_3H11,550900,549360,0.9972045743329098
PV4,481440,479680,0.9963443004320373
Methanococcus_S2,461524,459298,0.9951768488745981
Kang,216324,215136,0.9945082376435347
DvH,2074937,2062825,0.9941627143378329
ANA3,392476,389801,0.9931842966194111
SB2B,592990,588810,0.9929509772508811
Miya,450518,446958,0.9920979849861715
Korea,549666,544320,0.9902740937223696
SyringaeB728a,198444,196466,0.9900324524802967
SyringaeB728a_mexBdelta,98486,97451,0.9894908921064923
Ponti,383240,378872,0.9886024423337856
Methanococcus_JJ,178407,176343,0.9884309472161966
Pedo557,782871,771543,0.9855301831336197
Magneto,115956,113580,0.9795094691089724
Dda3937,214890,209612,0.9754385964912281
Koxy,958464,932880,0.9733072916666666
Ddia6719,116424,113289,0.9730725623582767
MR1,665632,644512,0.9682707562136436
RalstoniaGMI1000,27860,26971,0.9680904522613065
RalstoniaPSI07,32232,31184,0.9674857284686026
RalstoniaBSBF1503,30232,29216,0.9663932257210902
RalstoniaUW163,22770,22002,0.9662714097496706
DdiaME23,259509,249159,0.9601169901621909
Keio,636552,602280,0.946159936658749
azobra,439803,380198,0.8644734119594455
