orgId,extract,mix,physical
ANA3,156713.97101449274,179669.27295008913,56092.75603541812
BFirm,189744.0,336984.3106060606,86635.68939393939
Btheta,493203.85714285716,0.0,1530241.1428571427
Burk376,0.0,125604.375,28985.625
Caulo,343200.0,0.0,312576.0
Cola,345922.97368421056,329763.6,123021.42631578949
Cup4G11,232785.99877526026,333539.8181818182,110378.18304292156
Dda3937,32378.478260869564,0.0,56541.52173913043
Ddia6719,13702.95652173913,0.0,21577.043478260868
DdiaME23,29215.884057971012,0.0,57287.115942028984
Dino,273704.5921052632,222998.94285714283,96078.46503759398
DvH,412075.53246753244,497855.61128310306,1165005.8562493646
Dyella79,133757.24637681158,88359.375,24383.378623188408
HerbieS,110920.08022045315,202998.12524703558,58465.794532511274
Kang,173628.47368421053,0.0,42695.52631578947
Keio,235467.1304347826,18471.375,382613.4945652174
Korea,378885.0,126100.07386363637,44680.92613636363
Koxy,260367.5199020208,554112.0,143984.4800979792
MR1,370910.05797101447,217014.79200089126,77707.15002809424
Magneto,91786.86133694669,10832.602503548846,13336.53615950445
Marino,465807.2368421053,308973.16849816847,155969.59465972625
Methanococcus_JJ,33200.38181818181,80795.95024765025,64410.667934167934
Methanococcus_S2,61465.975986277874,236717.9551590797,163340.06885464245
Miya,142754.97402597402,100383.04026610644,207379.98570791955
PS,70424.07559279728,104976.94814209882,26917.976265103895
PV4,388597.0869565217,63056.25,29786.663043478264
Pedo557,388538.74647887325,280307.625,114024.62852112675
Phaeo,340767.6710526316,377001.8637362637,131356.4652111047
Ponti,307600.5263157895,0.0,75639.47368421053
Putida,195023.15492957746,77642.5,1160734.3450704226
RalstoniaBSBF1503,10844.08695652174,0.0,8050.913043478261
RalstoniaGMI1000,7613.913043478261,0.0,12286.08695652174
RalstoniaPSI07,7707.652173913044,0.0,12437.347826086956
RalstoniaUW163,10890.0,0.0,11880.0
SB2B,266687.1884057971,245479.72370766487,80823.08788653801
Smeli,189400.26086956522,216110.9659090909,56458.77322134387
SynE,0.0,78658.57894736841,166312.42105263157
SyringaeB728a,80847.55555555555,0.0,18374.44444444444
SyringaeB728a_mexBdelta,80247.85185185185,0.0,18238.148148148146
WCS417,306802.53766074707,455985.5625,125430.8998392529
acidovorax_3H11,323792.10553174117,175845.3125,51262.581968258826
azobra,126708.65217391304,247151.19886363635,65943.14896245059
psRCH2,517076.4693281402,406205.63371143164,128303.89696042813
pseudo13_GW456_L13,122493.47826086957,272146.875,66459.64673913043
pseudo1_N1B4,252619.1304347826,304152.3333333333,80620.53623188406
pseudo3_N2E3,410109.9130434783,517960.1818181818,132837.90513833993
pseudo5_N2C3_1,363058.4347826087,471419.7994652407,121033.76575215066
pseudo6_N2E2,289084.60869565216,540720.8038537549,135198.5874505929
