orgId,n_rows
Btheta,2104545
DvH,2074937
Putida,1433400
psRCH2,1172150
pseudo3_N2E3,1060908
pseudo6_N2E2,965004
Koxy,958464
pseudo5_N2C3_1,955512
Marino,930750
WCS417,888219
Phaeo,849126
Cola,798708
Pedo557,782871
Cup4G11,676704
MR1,665632
Caulo,655776
pseudo1_N1B4,637392
Keio,636552
BFirm,613364
SB2B,592990
Dino,592782
acidovorax_3H11,550900
Korea,549666
PV4,481440
Smeli,461970
Methanococcus_S2,461524
pseudo13_GW456_L13,461100
Miya,450518
azobra,439803
ANA3,392476
Ponti,383240
HerbieS,372384
DdiaME23,259509
Dyella79,246500
SynE,244971
Kang,216324
Dda3937,214890
PS,202319
SyringaeB728a,198444
Methanococcus_JJ,178407
Burk376,154590
Ddia6719,116424
Magneto,115956
SyringaeB728a_mexBdelta,98486
RalstoniaPSI07,32232
RalstoniaBSBF1503,30232
RalstoniaGMI1000,27860
RalstoniaUW163,22770
