protocol,baseline,metric,value
largest_by_rows,global_train_mean,rmse,0.5668274976346473
largest_by_rows,global_train_mean,mae,0.3238944676448617
largest_by_rows,per_condition_mean,rmse,0.5742223658095601
largest_by_rows,per_condition_mean,mae,0.3367677234720477
largest_by_rows,per_organism_mean,rmse,0.5668274976346473
largest_by_rows,per_organism_mean,mae,0.3238944676448617
largest_by_rows,additive_baseline,rmse,0.5675101606156486
largest_by_rows,additive_baseline,mae,0.3256738396380067
largest_by_rows,embedding_nn,rmse,0.6059831477646005
largest_by_rows,embedding_nn,mae,0.3510419955459422
high_overlap_easy,global_train_mean,rmse,0.5865700160852934
high_overlap_easy,global_train_mean,mae,0.28878297162582267
high_overlap_easy,per_condition_mean,rmse,0.5874852757693048
high_overlap_easy,per_condition_mean,mae,0.29034335576478515
high_overlap_easy,per_organism_mean,rmse,0.5865700160852934
high_overlap_easy,per_organism_mean,mae,0.28878297162582267
high_overlap_easy,additive_baseline,rmse,0.5873056597363393
high_overlap_easy,additive_baseline,mae,0.2900513151007848
high_overlap_easy,embedding_nn,rmse,0.6250828588750862
high_overlap_easy,embedding_nn,mae,0.324736358171855
low_overlap_stress,global_train_mean,rmse,0.9370312362177168
low_overlap_stress,global_train_mean,mae,0.5353157391347653
low_overlap_stress,per_condition_mean,rmse,0.9385705982248254
low_overlap_stress,per_condition_mean,mae,0.5366338801331014
low_overlap_stress,per_organism_mean,rmse,0.9370312362177168
low_overlap_stress,per_organism_mean,mae,0.5353157391347653
low_overlap_stress,additive_baseline,rmse,0.9388191123024736
low_overlap_stress,additive_baseline,mae,0.5364057915288253
low_overlap_stress,embedding_nn,rmse,0.9793434555022886
low_overlap_stress,embedding_nn,mae,0.5798568596176893
multi_org_balanced,global_train_mean,rmse,0.630685168009717
multi_org_balanced,global_train_mean,mae,0.31163793242527155
multi_org_balanced,per_condition_mean,rmse,0.6319475956163499
multi_org_balanced,per_condition_mean,mae,0.3159830578818741
multi_org_balanced,per_organism_mean,rmse,0.630685168009717
multi_org_balanced,per_organism_mean,mae,0.31163793242527155
multi_org_balanced,additive_baseline,rmse,0.6320017301809576
multi_org_balanced,additive_baseline,mae,0.31589763077555943
multi_org_balanced,embedding_nn,rmse,0.5883749173708371
multi_org_balanced,embedding_nn,mae,0.3252808359929022
