protocol,m,n_genes_eligible
largest_by_rows,3,4055
largest_by_rows,5,4055
largest_by_rows,8,4055
largest_by_rows,12,4055
largest_by_rows,20,4055
high_overlap_easy,3,8127
high_overlap_easy,5,8127
high_overlap_easy,8,8127
high_overlap_easy,12,8127
high_overlap_easy,20,8127
low_overlap_stress,3,1899
low_overlap_stress,5,1899
low_overlap_stress,8,1899
low_overlap_stress,12,1899
low_overlap_stress,20,1899
multi_org_balanced,3,18406
multi_org_balanced,5,18406
multi_org_balanced,8,18406
multi_org_balanced,12,18406
multi_org_balanced,20,18406
