arm,seed,quantile,residual
weighted_full,0,p1,-1.6697331178
weighted_full,1,p1,-1.6725586834
weighted_full,2,p1,-1.7119962767
strict_slice,0,p1,-1.707982347
strict_slice,1,p1,-1.6610849942
strict_slice,2,p1,-1.6847584122
weighted_full,0,p5,-0.6491668159
weighted_full,1,p5,-0.6374377272
weighted_full,2,p5,-0.6645020235
strict_slice,0,p5,-0.6741696678
strict_slice,1,p5,-0.6488328607
strict_slice,2,p5,-0.6486731552
weighted_full,0,p25,-0.1538510704
weighted_full,1,p25,-0.1400027056
weighted_full,2,p25,-0.1634669077
strict_slice,0,p25,-0.1649672186
strict_slice,1,p25,-0.1499355594
strict_slice,2,p25,-0.1436397834
weighted_full,0,p50,0.0204759883
weighted_full,1,p50,0.0350705353
weighted_full,2,p50,0.0128494827
strict_slice,0,p50,0.0158140599
strict_slice,1,p50,0.0280425752
strict_slice,2,p50,0.0356810582
weighted_full,0,p75,0.1949543301
weighted_full,1,p75,0.2109868806
weighted_full,2,p75,0.1872143317
strict_slice,0,p75,0.1936133798
strict_slice,1,p75,0.2067846991
strict_slice,2,p75,0.2113523949
weighted_full,0,p95,0.6373505116
weighted_full,1,p95,0.6471810408
weighted_full,2,p95,0.6166770309
strict_slice,0,p95,0.6333260909
strict_slice,1,p95,0.6526154146
strict_slice,2,p95,0.6405103333
weighted_full,0,p99,1.3442840436
weighted_full,1,p99,1.3462762165
weighted_full,2,p99,1.2974800212
strict_slice,0,p99,1.311958614
strict_slice,1,p99,1.3699997345
strict_slice,2,p99,1.3207609859
